id,transaction,useCase,transaction_length, boundry_num, control_num, entity_num, actor_num
1,stl#User:Homepage-->User:Homepage,Edit Posting,2,1,0,0,0
2,stl#User:Clicks Submit-->User:Clicks Submit-->Clicks Submit:modifies posting identification data-->modifies posting identification data:Changes are saved in the system-->Changes are saved in the system:generates a message to inform the User-->generates a message to inform the User:Homepage,Edit Posting,6,4,1,0,0
3,stl#User:Clicks Submit-->User:Clicks Submit-->Clicks Submit:modifies posting identification data-->modifies posting identification data:Changes are saved in the system-->Changes are saved in the system:Posting db,Edit Posting,5,4,0,0,0
4,stl#User:fills out relevant information about the posting-->User:fills out relevant information about the posting-->fills out relevant information about the posting:modifies posting identification data-->modifies posting identification data:Changes are saved in the system-->Changes are saved in the system:generates a message to inform the User-->generates a message to inform the User:Homepage,Edit Posting,6,4,1,0,0
5,stl#User:fills out relevant information about the posting-->User:fills out relevant information about the posting-->fills out relevant information about the posting:modifies posting identification data-->modifies posting identification data:Changes are saved in the system-->Changes are saved in the system:Posting db,Edit Posting,5,4,0,0,0
6,stl#User:selects the appropriate posting and clicks Edit-->User:selects the appropriate posting and clicks Edit-->selects the appropriate posting and clicks Edit:retrieves the posting selected-->retrieves the posting selected:Show confirmation page-->Show confirmation page:Homepage,Edit Posting,5,4,0,0,0
7,stl#User:selects the appropriate posting and clicks Edit-->User:selects the appropriate posting and clicks Edit-->selects the appropriate posting and clicks Edit:retrieves the posting selected-->retrieves the posting selected:Show confirmation page-->Show confirmation page:Posting db,Edit Posting,5,4,0,0,0
8,stl#User:selects the appropriate posting and clicks Edit-->User:selects the appropriate posting and clicks Edit-->selects the appropriate posting and clicks Edit:retrieves the posting selected-->retrieves the posting selected:Show confirmation page-->Show confirmation page:selects the appropriate posting and clicks Edit-->selects the appropriate posting and clicks Edit:retrieves the posting selected,Edit Posting,6,5,0,0,0
9,stl#User:selects the appropriate posting and clicks Edit-->User:selects the appropriate posting and clicks Edit-->selects the appropriate posting and clicks Edit:retrieves the posting selected-->retrieves the posting selected:modifies posting identification data-->modifies posting identification data:Changes are saved in the system-->Changes are saved in the system:generates a message to inform the User-->generates a message to inform the User:Homepage,Edit Posting,7,5,1,0,0
10,stl#User:selects the appropriate posting and clicks Edit-->User:selects the appropriate posting and clicks Edit-->selects the appropriate posting and clicks Edit:retrieves the posting selected-->retrieves the posting selected:modifies posting identification data-->modifies posting identification data:Changes are saved in the system-->Changes are saved in the system:Posting db,Edit Posting,6,5,0,0,0
11,stl#User:Homepage-->User:Homepage,Edit Posting,2,1,0,0,0
12,stl#User:View Application Page-->User:View Application Page-->View Application Page:Choose Applications-->Choose Applications:Show confirmation page-->Show confirmation page:Homepage,Edit Posting,5,4,0,0,0
13,stl#User:View Application Page-->User:View Application Page-->View Application Page:Choose Applications-->Choose Applications:Show confirmation page-->Show confirmation page:View Application Page-->View Application Page:Choose Applications,Edit Posting,6,5,0,0,0
