id,transaction,useCase,transactional, TL, DETs, TD, TC, Arch_Diff
1,stl#User:activity already exists->User:activity already exists,Create Activity,CTRL;EXTCLL;INT,2,0,5,1,10
2,stl#User:Activity input page->User:Activity input page->Activity input page:add activity into db->add activity into db:success message,Create Activity,TRAN_NA,4,5,4,3,16
3,stl#User:Activity input page->User:Activity input page->Activity input page:add activity into db->add activity into db:activity already exists,Create Activity,TRAN_NA,4,0,5,3,20
4,stl#User:Activity input page->User:Activity input page->Activity input page:add activity into db->add activity into db:activity,Create Activity,TRAN_NA,4,1,5,3,20
7,stl#User:project description page->User:project description page->project description page:create user account->create user account:project has been created message,Create STEM Project,TRAN_NA,4,1,2.3333333333333335,3,9.333333333333334
8,stl#User:project description page->User:project description page->project description page:create user account->create user account:success message,Create STEM Project,TRAN_NA,4,6,2.3333333333333335,3,9.333333333333334
9,stl#User:project description page->User:project description page->project description page:create user account->create user account:User account,Create STEM Project,TRAN_NA,4,1,1.6666666666666667,3,6.666666666666667
10,stl#User:Survey detail input page->User:Survey detail input page->Survey detail input page:Input survey brief info->Input survey brief info:Survey db,Create Survey,CTRL,4,0,7,3,28
11,stl#User:Survey detail input page->User:Survey detail input page->Survey detail input page:Input survey brief info->Input survey brief info:Survey detail page->Survey detail page:add survey detail into db->add survey detail into db:survey has been created message,Create Survey,CTRL;EXTCLL;INT,6,0,6,5,36
12,stl#User:Survey detail page->User:Survey detail page->Survey detail page:add survey detail into db->add survey detail into db:survey has been created message,Create Survey,CTRL;EXTCLL;INT,4,0,5.333333333333333,3,21.333333333333332
15,stl#User:Create subactivity page->User:Create subactivity page->Create subactivity page:add subactivity into db->add subactivity into db:subactivity db,Create subactivity,TRAN_NA,4,2,8,3,32
16,stl#User:Create subactivity page->User:Create subactivity page->Create subactivity page:add subactivity into db->add subactivity into db:subactivity detail input page->subactivity detail input page:Input activity into db->Input activity into db:subactivity db,Create subactivity,TRAN_NA,6,1,8,5,48
17,stl#User:Create subactivity page->User:Create subactivity page->Create subactivity page:add subactivity into db->add subactivity into db:subactivity detail input page->subactivity detail input page:Input activity into db->Input activity into db:Successfully created message,Create subactivity,TRAN_NA,6,2,6.8,5,40.8
18,stl#User:subactivity detail input page->User:subactivity detail input page->subactivity detail input page:Input activity into db->Input activity into db:subactivity db,Create subactivity,TRAN_NA,4,0,8,3,32
19,stl#User:subactivity detail input page->User:subactivity detail input page->subactivity detail input page:Input activity into db->Input activity into db:Successfully created message,Create subactivity,TRAN_NA,4,1,6,3,24
20,stl#User:Survey result has been created error message->User:Survey result has been created error message->Survey result has been created error message:add survey detail into db->add survey detail into db:survey has been created message,Input results for survey,TRAN_NA,4,1,4.333333333333333,3,17.333333333333332
21,stl#User:Survey result page->User:Survey result page->Survey result page:Input survey result info->Input survey result info:Survey result has been created error message->Survey result has been created error message:add survey detail into db->add survey detail into db:survey has been created message,Input results for survey,TRAN_NA,6,2,4.6,5,27.599999999999998
22,stl#User:Survey result page->User:Survey result page->Survey result page:Input survey result info->Input survey result info:Survey db,Input results for survey,CTRL,4,1,5,3,20
23,stl#User:search results list->User:search results list,Reserve Inventory,CTRL;EXTCLL;INT,2,0,2,1,4
24,stl#User:Project info page->User:Project info page->Project info page:save project info->save project info:search results list,Reserve Inventory,CTRL;EXTCLL;INT,4,1,2.6666666666666665,3,10.666666666666666
25,stl#User:Project info page->User:Project info page->Project info page:save project info->save project info:Successfully input message,Reserve Inventory,CTRL;EXTCLL;INT,4,2,2.6666666666666665,3,10.666666666666666
26,stl#User:Project info page->User:Project info page->Project info page:save project info->save project info:Project info,Reserve Inventory,CTRL,4,1,3,3,12
28,stl#User:Search query input bar->User:Search query input bar->Search query input bar:search query from db->search query from db:search results list,Search,TRAN_NA,4,0,6,3,24
29,stl#User:Search query input bar->User:Search query input bar->Search query input bar:search query from db->search query from db:no search result is found,Search,TRAN_NA,4,1,6,3,24
30,stl#User:Search query input bar->User:Search query input bar->Search query input bar:search query from db->search query from db:User account,Search,TRAN_NA,4,0,4.333333333333333,3,17.333333333333332
31,stl#User:no search result is found->User:no search result is found,Search,CTRL;EXTCLL;INT,2,0,6,1,12
32,stl#User:Student info page->User:Student info page->Student info page:save student info->save student info:search results list,Sign in sheet,TRAN_NA,4,5,2.6666666666666665,3,10.666666666666666
33,stl#User:Student info page->User:Student info page->Student info page:save student info->save student info:student info,Sign in sheet,TRAN_NA,4,1,3,3,12
34,stl#User:Student info page->User:Student info page->Student info page:save student info->save student info:show "successfully input" message,Sign in sheet,TRAN_NA,4,1,2.6666666666666665,3,10.666666666666666
