id,element,useCase,type,component
1,Lead:income call popup,Record calls and call details,actor,customer
2,Twilio API:popup income call and customer's number,Record calls and call details,actor,customer
3,Twilio API:popup income call and user agent number,Record calls and call details,actor,customer
4,answer phone call:Twilio API,Record calls and call details,control,TwilioAPI
5,answer phone call:Twilio API,Record calls and call details,control,TwilioAPI
6,dial with Twilio API:Twilio API,Record calls and call details,control,TwilioAPI
7,User Agent:call/auto dialer button,Record calls and call details,entity,1800dialbutton
8,User Agent:income call popup,Record calls and call details,actor,customer
9,caller number:customer,Record calls and call details,actor,customer
10,caller number:answer phone call,Record calls and call details,control,softphonescreen
11,answer phone call:call log,Record calls and call details,entity,loginpage
12,income call popup:answer phone call,Record calls and call details,control,softphonescreen
13,call/auto dialer button:dial with Twilio API,Record calls and call details,control,TwilioAPI
14,popup income call and user agent number:caller number,Record calls and call details,control,callernumber
15,popup income call and customer's number:income call popup,Record calls and call details,control,callernumber
16,stl#Lead:income call popup,Record calls and call details,Stimulus,undefined
17,stl#Twilio API:popup income call and customer's number,Record calls and call details,Stimulus,undefined
18,stl#Twilio API:popup income call and user agent number,Record calls and call details,Stimulus,undefined
19,stl#User Agent:call/auto dialer button,Record calls and call details,Stimulus,undefined
20,stl#User Agent:income call popup,Record calls and call details,Stimulus,undefined
