id,transaction,useCase,transactional,TL, DETs, TD, TC, Arch_Diff
1,stl#User:profile detail page->User:profile detail page->profile detail page:redirect to edit page->redirect to edit page:profile edit page->profile edit page:save edited profile->save edited profile:profile is updated feedback->profile is updated feedback:redirect to profile page->redirect to profile page:profile detail page->profile detail page:redirect to edit page,Update his/her profile,TRAN_NA,9,25,10.5,8,94.5
2,stl#User:profile detail page->User:profile detail page->profile detail page:redirect to edit page->redirect to edit page:profile edit page->profile edit page:save edited profile->save edited profile:profile is updated feedback->profile is updated feedback:redirect to profile page->redirect to profile page:profile detail page->profile detail page:load user profile->load user profile:profile,Update his/her profile,TRAN_NA,10,26,10.777777777777779,9,107.77777777777779
3,stl#User:profile detail page->User:profile detail page->profile detail page:redirect to edit page->redirect to edit page:profile edit page->profile edit page:save edited profile->save edited profile:profile,Update his/her profile,TRAN_NA,6,1,11,5,66
4,stl#User:profile detail page->User:profile detail page->profile detail page:redirect to edit page->redirect to edit page:profile edit page->profile edit page:save edited profile->save edited profile:like,Update his/her profile,TRAN_NA,6,2,8.6,5,51.599999999999994
5,stl#User:profile detail page->User:profile detail page->profile detail page:redirect to edit page->redirect to edit page:profile edit page->profile edit page:save edited profile->save edited profile:error when saving profile,Update his/her profile,TRAN_NA,6,1,11,5,66
6,stl#User:profile detail page->User:profile detail page->profile detail page:load user profile->load user profile:profile,Update his/her profile,TRAN_NA,4,1,9.666666666666666,3,38.666666666666664
7,stl#User:profile is updated feedback->User:profile is updated feedback->profile is updated feedback:redirect to profile page->redirect to profile page:profile detail page->profile detail page:redirect to edit page->redirect to edit page:profile edit page->profile edit page:save edited profile->save edited profile:profile is updated feedback->profile is updated feedback:redirect to profile page,Update his/her profile,TRAN_NA,9,49,11.75,8,105.75
8,stl#User:profile is updated feedback->User:profile is updated feedback->profile is updated feedback:redirect to profile page->redirect to profile page:profile detail page->profile detail page:redirect to edit page->redirect to edit page:profile edit page->profile edit page:save edited profile->save edited profile:profile,Update his/her profile,TRAN_NA,8,25,11.571428571428571,7,92.57142857142857
9,stl#User:profile is updated feedback->User:profile is updated feedback->profile is updated feedback:redirect to profile page->redirect to profile page:profile detail page->profile detail page:redirect to edit page->redirect to edit page:profile edit page->profile edit page:save edited profile->save edited profile:like,Update his/her profile,TRAN_NA,8,26,9.857142857142858,7,78.85714285714286
10,stl#User:profile is updated feedback->User:profile is updated feedback->profile is updated feedback:redirect to profile page->redirect to profile page:profile detail page->profile detail page:redirect to edit page->redirect to edit page:profile edit page->profile edit page:save edited profile->save edited profile:error when saving profile,Update his/her profile,TRAN_NA,8,25,11.571428571428571,7,92.57142857142857
11,stl#User:profile is updated feedback->User:profile is updated feedback->profile is updated feedback:redirect to profile page->redirect to profile page:profile detail page->profile detail page:load user profile->load user profile:profile,Update his/her profile,TRAN_NA,6,25,11,5,66
12,stl#User:view profile button->User:view profile button->view profile button:load user profile->load user profile:profile,Update his/her profile,TRAN_NA,4,1,5.666666666666667,3,22.666666666666668
13,stl#User:error when saving profile->User:error when saving profile,Update his/her profile,CTRL;EXTCLL;INT,2,0,1,1,2
14,stl#User:profile edit page->User:profile edit page->profile edit page:save edited profile->save edited profile:profile is updated feedback->profile is updated feedback:redirect to profile page->redirect to profile page:profile detail page->profile detail page:redirect to edit page->redirect to edit page:profile edit page->profile edit page:save edited profile,Update his/her profile,TRAN_NA,9,25,10.5,8,94.5
15,stl#User:profile edit page->User:profile edit page->profile edit page:save edited profile->save edited profile:profile is updated feedback->profile is updated feedback:redirect to profile page->redirect to profile page:profile detail page->profile detail page:load user profile->load user profile:profile,Update his/her profile,TRAN_NA,8,25,10.142857142857142,7,81.14285714285714
16,stl#User:profile edit page->User:profile edit page->profile edit page:save edited profile->save edited profile:profile,Update his/her profile,TRAN_NA,4,0,9.666666666666666,3,38.666666666666664
17,stl#User:profile edit page->User:profile edit page->profile edit page:save edited profile->save edited profile:like,Update his/her profile,TRAN_NA,4,1,5.666666666666667,3,22.666666666666668
18,stl#User:profile edit page->User:profile edit page->profile edit page:save edited profile->save edited profile:error when saving profile,Update his/her profile,TRAN_NA,4,0,9.666666666666666,3,38.666666666666664
