id,transaction,useCase,transactional,TL, DETs, TD, Arch_Diff
1,stl#Case Manager:unauthorized error message->Case Manager:unauthorized error message,Reset Password,CTRL,2,0,3,6
2,stl#Case Manager:case management page->Case Manager:case management page,Reset Password,CTRL,2,0,6,12
3,stl#Case Manager:case management page->Case Manager:case management page,Reset Password,EXTCLL,2,0,6,12
4,stl#Case Manager:case management page->Case Manager:case management page,Reset Password,INT,2,0,6,12
5,stl#Case Manager:invalid answer for security question->Case Manager:invalid answer for security question,Reset Password,CTRL,2,0,3,6
6,stl#Case Manager:invalid answer for security question->Case Manager:invalid answer for security question,Reset Password,EXTCLL,2,0,3,6
7,stl#Case Manager:invalid answer for security question->Case Manager:invalid answer for security question,Reset Password,INT,2,0,3,6
8,stl#Case Manager:Reset password button->Case Manager:Reset password button->Reset password button:validate role of user->validate role of user:unauthorized error message,Reset Password,CTRL,4,0,2.6666666666666665,10.666666666666666
9,stl#Case Manager:Reset password button->Case Manager:Reset password button->Reset password button:validate role of user->validate role of user:role,Reset Password,CTRL,4,0,2,8
10,stl#Case Manager:Reset password button->Case Manager:Reset password button->Reset password button:validate role of user->validate role of user:reset page->reset page:validate answer of security question->validate answer of security question:reset new password->reset new password:case management page,Reset Password,TRAN_NA,7,0,3.8333333333333335,26.833333333333336
11,stl#Case Manager:Reset password button->Case Manager:Reset password button->Reset password button:validate role of user->validate role of user:reset page->reset page:validate answer of security question->validate answer of security question:reset new password->reset new password:User,Reset Password,TRAN_NA,7,0,3,21
12,stl#Case Manager:Reset password button->Case Manager:Reset password button->Reset password button:validate role of user->validate role of user:reset page->reset page:validate answer of security question->validate answer of security question:invalid answer for security question,Reset Password,TRAN_NA,6,0,3.4,20.4
13,stl#Case Manager:reset page->Case Manager:reset page->reset page:validate answer of security question->validate answer of security question:reset new password->reset new password:case management page,Reset Password,TRAN_NA,5,0,4.5,22.5
14,stl#Case Manager:reset page->Case Manager:reset page->reset page:validate answer of security question->validate answer of security question:reset new password->reset new password:User,Reset Password,TRAN_NA,5,0,3.25,16.25
15,stl#Case Manager:reset page->Case Manager:reset page->reset page:validate answer of security question->validate answer of security question:invalid answer for security question,Reset Password,TRAN_NA,4,0,4,16
16,stl#Administrator:unauthorized error message->Administrator:unauthorized error message,Reset Password,CTRL,2,0,3,6
17,stl#Administrator:Reset password button->Administrator:Reset password button->Reset password button:validate role of user->validate role of user:unauthorized error message,Reset Password,CTRL,4,0,2.6666666666666665,10.666666666666666
18,stl#Administrator:Reset password button->Administrator:Reset password button->Reset password button:validate role of user->validate role of user:role,Reset Password,CTRL,4,0,2,8
19,stl#Administrator:Reset password button->Administrator:Reset password button->Reset password button:validate role of user->validate role of user:reset page->reset page:validate answer of security question->validate answer of security question:reset new password->reset new password:case management page,Reset Password,TRAN_NA,7,0,3.8333333333333335,26.833333333333336
20,stl#Administrator:Reset password button->Administrator:Reset password button->Reset password button:validate role of user->validate role of user:reset page->reset page:validate answer of security question->validate answer of security question:reset new password->reset new password:User,Reset Password,TRAN_NA,7,0,3,21
21,stl#Administrator:Reset password button->Administrator:Reset password button->Reset password button:validate role of user->validate role of user:reset page->reset page:validate answer of security question->validate answer of security question:invalid answer for security question,Reset Password,TRAN_NA,6,0,3.4,20.4
22,stl#Administrator:reset page->Administrator:reset page->reset page:validate answer of security question->validate answer of security question:reset new password->reset new password:case management page,Reset Password,TRAN_NA,5,0,4.5,22.5
23,stl#Administrator:reset page->Administrator:reset page->reset page:validate answer of security question->validate answer of security question:reset new password->reset new password:User,Reset Password,TRAN_NA,5,0,3.25,16.25
24,stl#Administrator:reset page->Administrator:reset page->reset page:validate answer of security question->validate answer of security question:invalid answer for security question,Reset Password,TRAN_NA,4,0,4,16
25,stl#Administrator:case management page->Administrator:case management page,Reset Password,CTRL,2,0,6,12
26,stl#Administrator:case management page->Administrator:case management page,Reset Password,EXTCLL,2,0,6,12
27,stl#Administrator:case management page->Administrator:case management page,Reset Password,INT,2,0,6,12
28,stl#Administrator:invalid answer for security question->Administrator:invalid answer for security question,Reset Password,CTRL,2,0,3,6
29,stl#Administrator:invalid answer for security question->Administrator:invalid answer for security question,Reset Password,EXTCLL,2,0,3,6
30,stl#Administrator:invalid answer for security question->Administrator:invalid answer for security question,Reset Password,INT,2,0,3,6
