id,transaction,useCase,transactional, TL, DETs, TD, TC, Arch_Diff
1,Admin:Database button-->Database button:show database info-->show database info:List of tables with drop button-->List of tables with drop button:drop tabl-->drop tabl:Empty complete message,Clear submitted answer,TRAN_NA,6,0,5.2,5,31.200000000000003
2,Admin:Empty complete message,Clear submitted answer,CTRL;EXTCLL;INT,2,0,2,1,4
3,Admin:List of tables with drop button-->List of tables with drop button:drop tabl-->drop tabl:Empty complete message,Clear submitted answer,TRAN_NA,4,0,4.666666666666667,3,18.666666666666668
4,User:Update message,Edit Page on Website,CTRL;EXTCLL;INT,2,0,4,1,8
5,User:Page Selector-->Page Selector:Load page to edit-->Load page to edit:page edit text field and update button-->page edit text field and update button:Update page-->Update page:Update message,Edit Page on Website,CTRL;EXTCLL;INT,6,0,6.4,5,38.400000000000006
6,User:Page Selector-->Page Selector:Load page to edit-->Load page to edit:page edit text field and update button-->page edit text field and update button:Update page-->Update page:Update error message,Edit Page on Website,CTRL;EXTCLL;INT,6,0,6.4,5,38.400000000000006
7,User:Page Selector-->Page Selector:Load page to edit-->Load page to edit:page edit text field and update button-->page edit text field and update button:Update page-->Update page:Page,Edit Page on Website,CTRL,6,1,7,5,42
8,User:page edit text field and update button-->page edit text field and update button:Update page-->Update page:Update message,Edit Page on Website,CTRL;EXTCLL;INT,4,0,6,3,24
9,User:page edit text field and update button-->page edit text field and update button:Update page-->Update page:Update error message,Edit Page on Website,CTRL;EXTCLL;INT,4,0,6,3,24
10,User:page edit text field and update button-->page edit text field and update button:Update page-->Update page:Page,Edit Page on Website,CTRL,4,1,7,3,28
11,User:Update error message,Edit Page on Website,CTRL;EXTCLL;INT,2,0,4,1,8
12,User:username and password interface-->username and password interface:check login information-->check login information:user interface,Login,TRAN_NA,4,0,4.333333333333333,3,17.333333333333332
13,User:username and password interface-->username and password interface:check login information-->check login information:admin interface,Login,TRAN_NA,4,1,4.333333333333333,3,17.333333333333332
14,User:username and password interface-->username and password interface:check login information-->check login information:User Info,Login,TRAN_NA,4,1,4.333333333333333,3,17.333333333333332
15,User:username and password interface-->username and password interface:check login information-->check login information:Error Message,Login,TRAN_NA,4,0,3,3,12
16,User:admin interface,Login,CTRL;EXTCLL;INT,2,0,6,1,12
17,User:user interface,Login,CTRL;EXTCLL;INT,2,0,6,1,12
18,User:Error Message,Login,CTRL;EXTCLL;INT,2,0,2,1,4
19,User:front page,Logout,CTRL;EXTCLL;INT,2,0,2,1,4
20,User:Logout Button-->Logout Button:clear local cache-->clear local cache:front page,Logout,TRAN_NA,4,1,1.3333333333333333,3,5.333333333333333
21,User:Logout Button-->Logout Button:clear local cache-->clear local cache:Cookie,Logout,TRAN_NA,4,1,1,3,4
22,User:Civilian or veteran radio button-->Civilian or veteran radio button:load first scenario-->load first scenario:display scenario-->display scenario:Scenario display,Provide Information,TRAN_NA,5,0,4,4,20
23,User:Civilian or veteran radio button-->Civilian or veteran radio button:load first scenario-->load first scenario:Scenario,Provide Information,TRAN_NA,4,0,3.6666666666666665,3,14.666666666666666
24,User:Scenario display,Provide Information,CTRL,2,0,5,1,10
25,User:Thank you page,Take Scenario Quiz,CTRL;EXTCLL;INT,2,0,2,1,4
26,User:Cookie Expiration Error,Take Scenario Quiz,CTRL,2,0,4,1,8
27,User:Scenario Page-->Scenario Page:Store the answer for the scenario-->Store the answer for the scenario:Thank you page,Take Scenario Quiz,CTRL;EXTCLL;INT,4,1,5.333333333333333,3,21.333333333333332
28,User:Scenario Page-->Scenario Page:Store the answer for the scenario-->Store the answer for the scenario:Scenario,Take Scenario Quiz,CTRL,4,0,7,3,28
29,User:Scenario Page-->Scenario Page:Store the answer for the scenario-->Store the answer for the scenario:Load next senario-->Load next senario:Scenario,Take Scenario Quiz,CTRL,5,0,7,4,35
30,User:Scenario Page-->Scenario Page:Store the answer for the scenario-->Store the answer for the scenario:Load next senario-->Load next senario:Scenario Page-->Scenario Page:Store the answer for the scenario,Take Scenario Quiz,CTRL,6,0,7,5,42
31,User:Scenario Page-->Scenario Page:Store the answer for the scenario-->Store the answer for the scenario:Check cookie expiration-->Check cookie expiration:Cookie,Take Scenario Quiz,CTRL,5,0,5.5,4,27.5
32,User:Scenario Page-->Scenario Page:Store the answer for the scenario-->Store the answer for the scenario:Check cookie expiration-->Check cookie expiration:Cookie Expiration Error,Take Scenario Quiz,CTRL,5,0,5.5,4,27.5
33,User:Scenario Page-->Scenario Page:store answers as cookie-->store answers as cookie:calculate response statistics-->calculate response statistics:answer statistics page-->answer statistics page:Load communication technique-->Load communication technique:communication,Take Team Scenario Quiz,TRAN_NA,7,1,3.1666666666666665,6,22.166666666666664
34,User:Scenario Page-->Scenario Page:store answers as cookie-->store answers as cookie:calculate response statistics-->calculate response statistics:answer statistics page-->answer statistics page:Load communication technique-->Load communication technique:Scenario Page-->Scenario Page:store answers as cookie,Take Team Scenario Quiz,TRAN_NA,8,1,3,7,24
35,User:Scenario Page-->Scenario Page:store answers as cookie-->store answers as cookie:Cookie,Take Team Scenario Quiz,TRAN_NA,4,0,3.3333333333333335,3,13.333333333333334
