id,element,useCase,type,component
1,User:specific document record,Create a limited user_admin,boundary,specificdocumentrecord
2,User:validation failed message,Create a limited user_admin,boundary,validationfailedmessage
3,User:file download interface,Create a limited user_admin,control,filedownloadinterface
4,User:"create user" button,Create a limited user_admin,entity,userinfo
5,User:validation failed message,Create a limited user_admin,boundary,validationfailedmessage
6,User:user information page,Create a limited user_admin,entity,userinfo
7,User:role validation failed message,Create a limited user_admin,boundary,validationfailedmessage
8,User:success message,Create a limited user_admin,boundary,validationfailedmessage
9,"create user" button:validate the role of user,Create a limited user_admin,boundary,validationfailedmessage
10,download the document:file download interface,Create a limited user_admin,control,filedownloadinterface
11,validate the role of users:download the document,Create a limited user_admin,control,filedownloadinterface
12,generate a random password for the username:insert the new username and password into the user db,Create a limited user_admin,control,insertthenewusernameandpasswordintotheuserdb
13,generate a random password for the username:user information page,Create a limited user_admin,entity,userinfo
14,validate the role of user:generate a random password for the username,Create a limited user_admin,control,insertthenewusernameandpasswordintotheuserdb
15,insert the new username and password into the user db:return generate success message,Create a limited user_admin,boundary,validationfailedmessage
16,insert the new username and password into the user db:user info,Create a limited user_admin,entity,userinfo
17,user information page:insert the new username and password into the user db,Create a limited user_admin,control,insertthenewusernameandpasswordintotheuserdb
18,return generate success message:success message,Create a limited user_admin,boundary,validationfailedmessage
19,role validation failed message:validation failed message,Create a limited user_admin,boundary,validationfailedmessage
20,validate the role of user:role validation failed message,Create a limited user_admin,boundary,validationfailedmessage
21,specific document record:validate the role of users,Create a limited user_admin,boundary,validationfailedmessage
22,validate the role of users:user,Create a limited user_admin,entity,userinfo
23,validate the role of user:user info,Create a limited user_admin,entity,userinfo
24,validate the role of users:validation failed message,Create a limited user_admin,boundary,validationfailedmessage
25,stl#User:specific document record,Create a limited user_admin,Stimulus,undefined
26,stl#User:validation failed message,Create a limited user_admin,Stimulus,undefined
27,stl#User:file download interface,Create a limited user_admin,Stimulus,undefined
28,stl#User:"create user" button,Create a limited user_admin,Stimulus,undefined
29,stl#User:validation failed message,Create a limited user_admin,Stimulus,undefined
30,stl#User:user information page,Create a limited user_admin,Stimulus,undefined
31,stl#User:role validation failed message,Create a limited user_admin,Stimulus,undefined
32,stl#User:success message,Create a limited user_admin,Stimulus,undefined
