id,transaction,useCase,transactional,TL, DETs, TD, TC, Arch_Diff
1,stl#Valet:inactive employee->Valet:inactive employee,Check in as valet,CTRL,2,0,5,1,10
2,stl#Valet:Server error message->Valet:Server error message,Check in as valet,CTRL,2,0,5,1,10
3,stl#Valet:Queue screen->Valet:Queue screen,Check in as valet,CTRL;EXTCLL;DM;EI,2,0,4,1,8
4,stl#Valet:venue list->Valet:venue list->venue list:check if active->check if active:inactive employee,Check in as valet,TRAN_NA,4,1,5.333333333333333,3,21.333333333333332
5,stl#Valet:venue list->Valet:venue list->venue list:check if active->check if active:valet,Check in as valet,TRAN_NA,4,2,4.333333333333333,3,17.333333333333332
6,stl#Valet:venue list->Valet:venue list->venue list:check if active->check if active:check if venue is checked in->check if venue is checked in:checked in by another valet->checked in by another valet:Redirect to venue list->Redirect to venue list:venue list->venue list:check if active,Check in as valet,TRAN_NA,8,1,5.428571428571429,7,43.42857142857143
7,stl#Valet:venue list->Valet:venue list->venue list:check if active->check if active:check if venue is checked in->check if venue is checked in:venue,Check in as valet,TRAN_NA,5,2,5.5,4,27.5
8,stl#Valet:Confirmation request dialog->Valet:Confirmation request dialog->Confirmation request dialog:navigate to queue screen->navigate to queue screen:Queue screen,Check in as valet,TRAN_NA,4,0,4,3,16
9,stl#Valet:Confirmation request dialog->Valet:Confirmation request dialog->Confirmation request dialog:Save acceptance->Save acceptance:valet,Check in as valet,TRAN_NA,4,2,2.3333333333333335,3,9.333333333333334
10,stl#Valet:Confirmation request dialog->Valet:Confirmation request dialog->Confirmation request dialog:Save acceptance->Save acceptance:display server error message->display server error message:Server error message,Check in as valet,TRAN_NA,5,3,3.75,4,18.75
11,stl#Valet:Confirmation request dialog->Valet:Confirmation request dialog->Confirmation request dialog:Save acceptance->Save acceptance:venue,Check in as valet,TRAN_NA,4,2,3.6666666666666665,3,14.666666666666666
12,stl#Valet:checked in by another valet->Valet:checked in by another valet->checked in by another valet:Redirect to venue list->Redirect to venue list:venue list->venue list:check if active->check if active:inactive employee,Check in as valet,TRAN_NA,6,0,5.4,5,32.400000000000006
13,stl#Valet:checked in by another valet->Valet:checked in by another valet->checked in by another valet:Redirect to venue list->Redirect to venue list:venue list->venue list:check if active->check if active:valet,Check in as valet,TRAN_NA,6,1,4.8,5,28.799999999999997
14,stl#Valet:checked in by another valet->Valet:checked in by another valet->checked in by another valet:Redirect to venue list->Redirect to venue list:venue list->venue list:check if active->check if active:check if venue is checked in->check if venue is checked in:checked in by another valet->checked in by another valet:Redirect to venue list,Check in as valet,TRAN_NA,8,0,5.428571428571429,7,43.42857142857143
15,stl#Valet:checked in by another valet->Valet:checked in by another valet->checked in by another valet:Redirect to venue list->Redirect to venue list:venue list->venue list:check if active->check if active:check if venue is checked in->check if venue is checked in:venue,Check in as valet,TRAN_NA,7,1,5.5,6,38.5
