id,transaction,useCase,transactional,TL, DETs, TD, TC, Arch_Diff
1,stl#Case manager:security questions reset page->Case manager:security questions reset page->security questions reset page:validate typed in security questions->validate typed in security questions:save updated security questions->save updated security questions:case management page,Reset Security Questions,TRAN_NA,5,3,10.5,4,52.5
2,stl#Case manager:security questions reset page->Case manager:security questions reset page->security questions reset page:validate typed in security questions->validate typed in security questions:save updated security questions->save updated security questions:Security questions,Reset Security Questions,TRAN_NA,5,3,13,4,65
3,stl#Case manager:security questions reset page->Case manager:security questions reset page->security questions reset page:validate typed in security questions->validate typed in security questions:invalid security questions,Reset Security Questions,TRAN_NA,4,2,13,3,52
4,stl#Case manager:invalid security questions->Case manager:invalid security questions,Reset Security Questions,CTRL;EXTCLL;INT,2,0,13,1,26
5,stl#Case manager:unauthorized error message->Case manager:unauthorized error message,Reset Security Questions,CTRL;EXTCLL;DM;EI,2,0,3,1,6
6,stl#Case manager:case management page->Case manager:case management page,Reset Security Questions,CTRL;EXTCLL;INT,2,0,3,1,6
7,stl#Case manager:Reset security questions->Case manager:Reset security questions->Reset security questions:validate role of user->validate role of user:unauthorized error message,Reset Security Questions,TRAN_NA,4,0,6,3,24
8,stl#Case manager:Reset security questions->Case manager:Reset security questions->Reset security questions:validate role of user->validate role of user:security questions reset page->security questions reset page:validate typed in security questions->validate typed in security questions:save updated security questions->save updated security questions:case management page,Reset Security Questions,TRAN_NA,7,3,9.5,6,66.5
9,stl#Case manager:Reset security questions->Case manager:Reset security questions->Reset security questions:validate role of user->validate role of user:security questions reset page->security questions reset page:validate typed in security questions->validate typed in security questions:save updated security questions->save updated security questions:Security questions,Reset Security Questions,TRAN_NA,7,3,11.166666666666666,6,78.16666666666666
10,stl#Case manager:Reset security questions->Case manager:Reset security questions->Reset security questions:validate role of user->validate role of user:security questions reset page->security questions reset page:validate typed in security questions->validate typed in security questions:invalid security questions,Reset Security Questions,TRAN_NA,6,2,10.8,5,64.80000000000001
11,stl#Case manager:Reset security questions->Case manager:Reset security questions->Reset security questions:validate role of user->validate role of user:role,Reset Security Questions,TRAN_NA,4,1,5.333333333333333,3,21.333333333333332
12,stl#Administrator:Reset security questions->Administrator:Reset security questions->Reset security questions:validate role of user->validate role of user:unauthorized error message,Reset Security Questions,TRAN_NA,4,0,6,3,24
13,stl#Administrator:Reset security questions->Administrator:Reset security questions->Reset security questions:validate role of user->validate role of user:security questions reset page->security questions reset page:validate typed in security questions->validate typed in security questions:save updated security questions->save updated security questions:case management page,Reset Security Questions,TRAN_NA,7,3,9.5,6,66.5
14,stl#Administrator:Reset security questions->Administrator:Reset security questions->Reset security questions:validate role of user->validate role of user:security questions reset page->security questions reset page:validate typed in security questions->validate typed in security questions:save updated security questions->save updated security questions:Security questions,Reset Security Questions,TRAN_NA,7,3,11.166666666666666,6,78.16666666666666
15,stl#Administrator:Reset security questions->Administrator:Reset security questions->Reset security questions:validate role of user->validate role of user:security questions reset page->security questions reset page:validate typed in security questions->validate typed in security questions:invalid security questions,Reset Security Questions,TRAN_NA,6,2,10.8,5,64.80000000000001
16,stl#Administrator:Reset security questions->Administrator:Reset security questions->Reset security questions:validate role of user->validate role of user:role,Reset Security Questions,TRAN_NA,4,1,5.333333333333333,3,21.333333333333332
17,stl#Administrator:security questions reset page->Administrator:security questions reset page->security questions reset page:validate typed in security questions->validate typed in security questions:save updated security questions->save updated security questions:case management page,Reset Security Questions,TRAN_NA,5,3,10.5,4,52.5
18,stl#Administrator:security questions reset page->Administrator:security questions reset page->security questions reset page:validate typed in security questions->validate typed in security questions:save updated security questions->save updated security questions:Security questions,Reset Security Questions,TRAN_NA,5,3,13,4,65
19,stl#Administrator:security questions reset page->Administrator:security questions reset page->security questions reset page:validate typed in security questions->validate typed in security questions:invalid security questions,Reset Security Questions,TRAN_NA,4,2,13,3,52
20,stl#Administrator:unauthorized error message->Administrator:unauthorized error message,Reset Security Questions,CTRL;EXTCLL;DM;EI,2,0,3,1,6
21,stl#Administrator:case management page->Administrator:case management page,Reset Security Questions,CTRL;EXTCLL;INT,2,1,3,1,6
22,stl#Administrator:invalid security questions->Administrator:invalid security questions,Reset Security Questions,CTRL;EXTCLL;INT,2,0,13,1,26
