id,transaction,useCase,transactional, TL, DETs, TD, Arch_Diff
1,stl#Administrator:article add page->Administrator:article add page->article add page:submit article to blog category->submit article to blog category:article,Add articles to blog,TRAN_NA,4,0,2.6666666666666665,10.666666666666666
2,stl#Administrator:Admin interface->Administrator:Admin interface->Admin interface:navigate article add page->navigate article add page:article add page->article add page:submit article to blog category->submit article to blog category:article,Add articles to blog,TRAN_NA,6,0,2,12
1,stl#User:Invalid error message->User:Invalid error message,Online Feedback Process,CTRL,2,0,2,4
2,stl#User:Invalid error message->User:Invalid error message,Online Feedback Process,EXTCLL,2,0,2,4
3,stl#User:Invalid error message->User:Invalid error message,Online Feedback Process,INT,2,0,2,4
4,stl#User:Feedback form->User:Feedback form->Feedback form:Rest cal for inserting feedback->Rest cal for inserting feedback:Validate feedback data->Validate feedback data:Display an invalid feedback error message->Display an invalid feedback error message:Invalid error message,Online Feedback Process,CTRL,6,0,6.8,40.8
5,stl#User:Feedback form->User:Feedback form->Feedback form:Rest cal for inserting feedback->Rest cal for inserting feedback:Validate feedback data->Validate feedback data:Display an invalid feedback error message->Display an invalid feedback error message:Invalid error message,Online Feedback Process,EXTCLL,6,0,6.8,40.8
6,stl#User:Feedback form->User:Feedback form->Feedback form:Rest cal for inserting feedback->Rest cal for inserting feedback:Validate feedback data->Validate feedback data:Display an invalid feedback error message->Display an invalid feedback error message:Invalid error message,Online Feedback Process,INT,6,0,6.8,40.8
7,stl#User:Feedback page->User:Feedback page->Feedback page:display feedback form->display feedback form:Feedback form->Feedback form:Rest cal for inserting feedback->Rest cal for inserting feedback:Validate feedback data->Validate feedback data:Display an invalid feedback error message->Display an invalid feedback error message:Invalid error message,Online Feedback Process,CTRL,8,0,7.142857142857143,57.142857142857146
8,stl#User:Feedback page->User:Feedback page->Feedback page:display feedback form->display feedback form:Feedback form->Feedback form:Rest cal for inserting feedback->Rest cal for inserting feedback:Validate feedback data->Validate feedback data:Display an invalid feedback error message->Display an invalid feedback error message:Invalid error message,Online Feedback Process,EXTCLL,8,0,7.142857142857143,57.142857142857146
