id,path,functional,transactional,path_length, boundary_num, control_num, entity_num, actor_num, utw, diagram,useCase
1,Insurance Agent->List of reports screen->Select Report->Display Report->Bad Dirver Report->Review Report,FUNC_NA,TRAN_NA,6,2,2,1,1,7,Query bad driver reporting DB,Query bad driver reporting DB
2,Insurance Agent->List of reports screen->Select Report->Display Report->Bad Dirver Report->Bad Driver Database,FUNC_NA,TRAN_NA,6,1,2,2,1,2,Query bad driver reporting DB,Query bad driver reporting DB
3,Insurance Agent->Enter License Plate# Screen->Query for report by license plate #->List of reports screen,EQ,CTRL|INT,4,2,1,0,1,5,Query bad driver reporting DB,Query bad driver reporting DB
4,License lace # database associated with Bad Drivers->Query for report by license plate #->List of reports screen,FUNC_NA,TRAN_NA,3,1,1,1,0,1,Query bad driver reporting DB,Query bad driver reporting DB
5,Report Poster->Enter License Plate# Screen->Capture Image,FUNC_NA,TRAN_NA,3,1,0,1,1,1,Post Bad Driver Report to Insurance DB,Post Bad Driver Report to Insurance DB
6,describe incident (category security etc)->Enter License Plate# Screen->Capture Image,FUNC_NA,TRAN_NA,3,1,1,1,0,1,Post Bad Driver Report to Insurance DB,Post Bad Driver Report to Insurance DB
7,Report Poster->Bad driver reporting screen->Record hazardous videos and Call 911->Display emergency alert web form,FUNC_NA,TRAN_NA,4,1,2,0,1,2,Send Drunk Driver Alert,Send Drunk Driver Alert
8,Report Poster->Enter License Plate# Screen->Record hazardous videos and Call 911->Display emergency alert web form,FUNC_NA,TRAN_NA,4,1,2,0,1,4,Send Drunk Driver Alert,Send Drunk Driver Alert
9,Report Poster->Enter License Plate# Screen->Cancel report->Email client,EQ,CTRL|INT,4,2,1,0,1,5,Send Drunk Driver Alert,Send Drunk Driver Alert
10,Report Poster->Enter License Plate# Screen->Describe vehicle details->emergency alert->get time date location from video metadata->Video,FUNC_NA,TRAN_NA,6,1,2,2,1,4,Send Drunk Driver Alert,Send Drunk Driver Alert
11,Report Poster->Enter License Plate# Screen->Describe vehicle details->emergency alert->get time date location from video metadata->Video,FUNC_NA,TRAN_NA,6,1,2,2,1,4,Send Drunk Driver Alert,Send Drunk Driver Alert
12,Report Poster->Enter License Plate# Screen->Enter name and phone number->emergency alert->get time date location from video metadata->Video,FUNC_NA,TRAN_NA,6,1,2,2,1,4,Send Drunk Driver Alert,Send Drunk Driver Alert
13,Report Poster->Enter License Plate# Screen->Describe incident->emergency alert->get time date location from video metadata->Video,FUNC_NA,TRAN_NA,6,1,2,2,1,4,Send Drunk Driver Alert,Send Drunk Driver Alert
14,Upload the video->Enter License Plate# Screen->Record hazardous videos and Call 911->Display emergency alert web form,FUNC_NA,TRAN_NA,4,1,3,0,0,4,Send Drunk Driver Alert,Send Drunk Driver Alert
15,Upload the video->Enter License Plate# Screen->Cancel report->Email client,FUNC_NA,TRAN_NA,4,2,2,0,0,5,Send Drunk Driver Alert,Send Drunk Driver Alert
16,Upload the video->Enter License Plate# Screen->Describe vehicle details->emergency alert->get time date location from video metadata->Video,FUNC_NA,TRAN_NA,6,1,3,2,0,4,Send Drunk Driver Alert,Send Drunk Driver Alert
17,Upload the video->Enter License Plate# Screen->Describe vehicle details->emergency alert->get time date location from video metadata->Video,FUNC_NA,TRAN_NA,6,1,3,2,0,4,Send Drunk Driver Alert,Send Drunk Driver Alert
18,Upload the video->Enter License Plate# Screen->Enter name and phone number->emergency alert->get time date location from video metadata->Video,FUNC_NA,TRAN_NA,6,1,3,2,0,4,Send Drunk Driver Alert,Send Drunk Driver Alert
19,Upload the video->Enter License Plate# Screen->Describe incident->emergency alert->get time date location from video metadata->Video,FUNC_NA,TRAN_NA,6,1,3,2,0,4,Send Drunk Driver Alert,Send Drunk Driver Alert
20,fill video metadata in non-editable fields->get time date location from video metadata->Video,FUNC_NA,TRAN_NA,3,0,2,1,0,2,Send Drunk Driver Alert,Send Drunk Driver Alert
21,fill video metadata in non-editable fields->Enter License Plate# Screen->Record hazardous videos and Call 911->Display emergency alert web form,FUNC_NA,TRAN_NA,4,1,3,0,0,4,Send Drunk Driver Alert,Send Drunk Driver Alert
22,fill video metadata in non-editable fields->Enter License Plate# Screen->Cancel report->Email client,FUNC_NA,TRAN_NA,4,2,2,0,0,5,Send Drunk Driver Alert,Send Drunk Driver Alert
23,fill video metadata in non-editable fields->Enter License Plate# Screen->Describe vehicle details->emergency alert->get time date location from video metadata->Video,FUNC_NA,TRAN_NA,6,1,3,2,0,4,Send Drunk Driver Alert,Send Drunk Driver Alert
24,fill video metadata in non-editable fields->Enter License Plate# Screen->Describe vehicle details->emergency alert->get time date location from video metadata->Video,FUNC_NA,TRAN_NA,6,1,3,2,0,4,Send Drunk Driver Alert,Send Drunk Driver Alert
25,fill video metadata in non-editable fields->Enter License Plate# Screen->Enter name and phone number->emergency alert->get time date location from video metadata->Video,FUNC_NA,TRAN_NA,6,1,3,2,0,4,Send Drunk Driver Alert,Send Drunk Driver Alert
26,fill video metadata in non-editable fields->Enter License Plate# Screen->Describe incident->emergency alert->get time date location from video metadata->Video,FUNC_NA,TRAN_NA,6,1,3,2,0,4,Send Drunk Driver Alert,Send Drunk Driver Alert
27,App user->Mobile app->send request with video file->receive file at node.js->Video,EI,CTRL|DM|EI,5,1,2,1,1,2,Upload video clip to bad driver recording DB,Upload video clip to bad driver recording DB
28,receive response->receive file at node.js->Video,FUNC_NA,TRAN_NA,3,0,2,1,0,1,Upload video clip to bad driver recording DB,Upload video clip to bad driver recording DB
29,Review/Agent->Invalid user popup->Invalid user alert->Query for valid users->Account collection,EI,CTRL|DM|EI,5,1,2,1,1,2,Reviewer/Agent Login,Reviewer/Agent Login
30,Review/Agent->Invalid user popup->check blank fields->Validate user->Query for valid users->Account collection,EI,CTRL|DM|EI,6,1,3,1,1,4,Reviewer/Agent Login,Reviewer/Agent Login
31,Review/Agent->Login screen->check blank fields->Validate user->Query for valid users->Account collection,EI,CTRL|DM|EI,6,1,3,1,1,4,Reviewer/Agent Login,Reviewer/Agent Login
32,Review/Agent->unauthoried access popup->privileges alert->Query for valid users->Account collection,EI,CTRL|DM|EI,5,1,2,1,1,2,Reviewer/Agent Login,Reviewer/Agent Login
33,Review/Agent->Blank fields popup->check blank fields->Validate user->Query for valid users->Account collection,EI,CTRL|DM|EI,6,1,3,1,1,4,Reviewer/Agent Login,Reviewer/Agent Login
34,Independent Reviewer->Duplicate popup->Display alert->Query for potential duplicates->Bad driver database,EI,CTRL|DM|EI,5,1,2,1,1,4,Independent Review of Bad Driver Report,Independent Review of Bad Driver Report
35,Independent Reviewer->Login screen->Get next report->Bad driver report->Get next report->Review Queue->Generate review queue->Bad driver database,FUNC_NA,TRAN_NA,8,1,3,3,1,7,Independent Review of Bad Driver Report,Independent Review of Bad Driver Report
36,Independent Reviewer->Login screen->Get next report->Query for potential duplicates->Bad driver database,EI,CTRL|DM|EI,5,1,2,1,1,2,Independent Review of Bad Driver Report,Independent Review of Bad Driver Report
37,Report Poster->Capture frame from video and extract LP#->Display video with media controls->video,EI,CTRL|DM|EI,4,1,1,1,1,2,Capture Frame from Video and get  LP number,Capture Frame from Video and get  LP number
38,Report Poster->Capture frame from video and extract LP#->Zoom and crop functionality->Display cropped image,FUNC_NA,TRAN_NA,4,1,2,0,1,2,Capture Frame from Video and get  LP number,Capture Frame from Video and get  LP number
39,Report Poster->Capture frame from video and extract LP#->Displlay captured frame,FUNC_NA,TRAN_NA,3,1,1,0,1,1,Capture Frame from Video and get  LP number,Capture Frame from Video and get  LP number
40,confirm LP#->Capture frame from video and extract LP#->Display video with media controls->video,FUNC_NA,TRAN_NA,4,1,2,1,0,2,Capture Frame from Video and get  LP number,Capture Frame from Video and get  LP number
41,confirm LP#->Capture frame from video and extract LP#->Zoom and crop functionality->Display cropped image,FUNC_NA,TRAN_NA,4,1,3,0,0,2,Capture Frame from Video and get  LP number,Capture Frame from Video and get  LP number
42,confirm LP#->Capture frame from video and extract LP#->Displlay captured frame,FUNC_NA,TRAN_NA,3,1,2,0,0,1,Capture Frame from Video and get  LP number,Capture Frame from Video and get  LP number
43,confirm LP#->Finish->Capture frame from video and extract LP#,FUNC_NA,TRAN_NA,3,1,2,0,0,1,Capture Frame from Video and get  LP number,Capture Frame from Video and get  LP number
44,Driver->View Review Screen->Display Thumbnails->Retrieve recorded videos->Circular Buffer,EI,CTRL|DM|EI,5,1,2,1,1,2,View video clips,View video clips
45,App user->Signup Screen->check first time user->Video record screen,EQ,CTRL|INT,4,2,1,0,1,4,App user login,App user login
46,App user->Signup Screen->check first time user->Query for first time users->Account collection,EI,CTRL|DM|EI,5,1,2,1,1,2,App user login,App user login
47,App user->Registered user popup->Registered user alert->Query for first time users->Account collection,EI,CTRL|DM|EI,5,1,2,1,1,4,App user login,App user login
48,Independent reviewer->Resolve duplicate screen->display 2 reports->Bad driver reports,EQ,CTRL|INT,4,2,1,0,1,4,Resolve Potential Duplicates,Resolve Potential Duplicates
49,Independent reviewer->Resolve duplicate screen->display 2 reports->Get potential duplicate reports->Bad driver database,EI,CTRL|DM|EI,5,1,2,1,1,2,Resolve Potential Duplicates,Resolve Potential Duplicates
50,Driver->Recording screen->Recording video clips->Receive report bad driver command->Fetch two most recent video clips->Circular Buffer,EI,CTRL|DM|EI,6,1,3,1,1,2,Recording video clips in a circular buffer,Recording video clips in a circular buffer
