id,path,transactional,path_length,diagram,useCase
1,Employee->Coupon Redeem Page->Enter password->Is network connection working->Alert message page,CTRL,5,Notify Partner of Redemption,Notify Partner of Redemption
2,Employee->Coupon Redeem Page->Enter password->Is network connection working->Alert message page,INT,5,Notify Partner of Redemption,Notify Partner of Redemption
3,Employee->Coupon Redeem Page->Enter password->Is network connection working->Is password valid?->Redeem failed page,CTRL,6,Notify Partner of Redemption,Notify Partner of Redemption
4,Employee->Coupon Redeem Page->Enter password->Is network connection working->Is password valid?->Redeem failed page,INT,6,Notify Partner of Redemption,Notify Partner of Redemption
5,Employee->Coupon Redeem Page->Enter password->Is network connection working->Is password valid?->is there similiar transaction->Alert message page,CTRL,7,Notify Partner of Redemption,Notify Partner of Redemption
6,Employee->Coupon Redeem Page->Enter password->Is network connection working->Is password valid?->is there similiar transaction->Alert message page,INT,7,Notify Partner of Redemption,Notify Partner of Redemption
7,Employee->Coupon Redeem Page->Enter password->Is network connection working->Is password valid?->is there similiar transaction->Enter Password->Traveler Account,CTRL,8,Notify Partner of Redemption,Notify Partner of Redemption
8,Employee->Coupon Redeem Page->Enter password->Is network connection working->Is password valid?->is there similiar transaction->Enter Password->Traveler Account,DM,8,Notify Partner of Redemption,Notify Partner of Redemption
9,Employee->Coupon Redeem Page->Enter password->Is network connection working->Is password valid?->is there similiar transaction->Enter Password->Traveler Account,EI,8,Notify Partner of Redemption,Notify Partner of Redemption
10,Employee->Coupon Redeem Page->Enter password->Is network connection working->Is password valid?->is there similiar transaction->Enter Password->Display Redeem Coupon Page->Redeem Success Page,CTRL,9,Notify Partner of Redemption,Notify Partner of Redemption
11,Employee->Coupon Redeem Page->Enter password->Is network connection working->Is password valid?->is there similiar transaction->Enter Password->Display Redeem Coupon Page->Redeem Success Page,INT,9,Notify Partner of Redemption,Notify Partner of Redemption
12,Traveler->Coupon Redeem Page->Enter password->Is network connection working->Alert message page,CTRL,5,Notify Partner of Redemption,Notify Partner of Redemption
13,Traveler->Coupon Redeem Page->Enter password->Is network connection working->Alert message page,INT,5,Notify Partner of Redemption,Notify Partner of Redemption
14,Traveler->Coupon Redeem Page->Enter password->Is network connection working->Is password valid?->Redeem failed page,CTRL,6,Notify Partner of Redemption,Notify Partner of Redemption
15,Traveler->Coupon Redeem Page->Enter password->Is network connection working->Is password valid?->Redeem failed page,INT,6,Notify Partner of Redemption,Notify Partner of Redemption
16,Traveler->Coupon Redeem Page->Enter password->Is network connection working->Is password valid?->is there similiar transaction->Alert message page,CTRL,7,Notify Partner of Redemption,Notify Partner of Redemption
17,Traveler->Coupon Redeem Page->Enter password->Is network connection working->Is password valid?->is there similiar transaction->Alert message page,INT,7,Notify Partner of Redemption,Notify Partner of Redemption
18,Traveler->Coupon Redeem Page->Enter password->Is network connection working->Is password valid?->is there similiar transaction->Enter Password->Traveler Account,CTRL,8,Notify Partner of Redemption,Notify Partner of Redemption
19,Traveler->Coupon Redeem Page->Enter password->Is network connection working->Is password valid?->is there similiar transaction->Enter Password->Traveler Account,DM,8,Notify Partner of Redemption,Notify Partner of Redemption
20,Traveler->Coupon Redeem Page->Enter password->Is network connection working->Is password valid?->is there similiar transaction->Enter Password->Traveler Account,EI,8,Notify Partner of Redemption,Notify Partner of Redemption
21,Traveler->Coupon Redeem Page->Enter password->Is network connection working->Is password valid?->is there similiar transaction->Enter Password->Display Redeem Coupon Page->Redeem Success Page,CTRL,9,Notify Partner of Redemption,Notify Partner of Redemption
22,Traveler->Coupon Redeem Page->Enter password->Is network connection working->Is password valid?->is there similiar transaction->Enter Password->Display Redeem Coupon Page->Redeem Success Page,INT,9,Notify Partner of Redemption,Notify Partner of Redemption
