id,transaction,useCase,transactional,TL, DETs, TD, TC, Arch_Diff
1,stl#Supervisor:Building/hub form page-->Supervisor:Building/hub form page-->Building/hub form page:System validates input-->System validates input:Insert the new record into db-->Insert the new record into db:building/hubdb,Add buildings/hubs to the datbase,TRAN_NA,5,2,7,4,35
2,stl#Supervisor:Building/hub form page-->Supervisor:Building/hub form page-->Building/hub form page:System validates input-->System validates input:Input invalid error-->Input invalid error:Validates input as being correct-->Validates input as being correct:null input informaiton error,Add buildings/hubs to the datbase,TRAN_NA,6,2,9,5,54
3,stl#Supervisor:Building/hub form page-->Supervisor:Building/hub form page-->Building/hub form page:System validates input-->System validates input:Input invalid error-->Input invalid error:Validates input as being correct-->Validates input as being correct:System updates record in the database-->System updates record in the database:building/hubdb,Add buildings/hubs to the datbase,TRAN_NA,7,3,9,6,63
4,stl#Supervisor:Building/hub form page-->Supervisor:Building/hub form page-->Building/hub form page:System validates input-->System validates input:Input invalid error-->Input invalid error:Validates input as being correct-->Validates input as being correct:System updates record in the database-->System updates record in the database:Redirects to the management buildings/hubs/disasters page-->Redirects to the management buildings/hubs/disasters page:Manage bildings/hubs/disasters page,Add buildings/hubs to the datbase,TRAN_NA,8,4,9,7,72
5,stl#Supervisor:Manage bildings/hubs/disasters page-->Supervisor:Manage bildings/hubs/disasters page,Add buildings/hubs to the datbase,CTRL;EXTCLL;DM;EI,2,0,9,1,18
6,stl#Supervisor:Input invalid error-->Supervisor:Input invalid error-->Input invalid error:Validates input as being correct-->Validates input as being correct:null input informaiton error,Add buildings/hubs to the datbase,CTRL,4,2,9,3,36
7,stl#Supervisor:Input invalid error-->Supervisor:Input invalid error-->Input invalid error:Validates input as being correct-->Validates input as being correct:System updates record in the database-->System updates record in the database:building/hubdb,Add buildings/hubs to the datbase,CTRL;EXTCLL;DM;EI,5,3,9,4,45
8,stl#Supervisor:Input invalid error-->Supervisor:Input invalid error-->Input invalid error:Validates input as being correct-->Validates input as being correct:System updates record in the database-->System updates record in the database:Redirects to the management buildings/hubs/disasters page-->Redirects to the management buildings/hubs/disasters page:Manage bildings/hubs/disasters page,Add buildings/hubs to the datbase,TRAN_NA,6,4,9,5,54
9,stl#Supervisor:null input informaiton error-->Supervisor:null input informaiton error,Add buildings/hubs to the datbase,CTRL,2,0,9,1,18
10,stl#Supervisor:Add building/hub button-->Supervisor:Add building/hub button-->Add building/hub button:Redirects to the add building/hub form page-->Redirects to the add building/hub form page:Building/hub form page-->Building/hub form page:System validates input-->System validates input:Insert the new record into db-->Insert the new record into db:building/hubdb,Add buildings/hubs to the datbase,TRAN_NA,7,4,7.666666666666667,6,53.66666666666667
11,stl#Supervisor:Add building/hub button-->Supervisor:Add building/hub button-->Add building/hub button:Redirects to the add building/hub form page-->Redirects to the add building/hub form page:Building/hub form page-->Building/hub form page:System validates input-->System validates input:Input invalid error-->Input invalid error:Validates input as being correct-->Validates input as being correct:null input informaiton error,Add buildings/hubs to the datbase,TRAN_NA,8,4,9,7,72
12,stl#Supervisor:Add building/hub button-->Supervisor:Add building/hub button-->Add building/hub button:Redirects to the add building/hub form page-->Redirects to the add building/hub form page:Building/hub form page-->Building/hub form page:System validates input-->System validates input:Input invalid error-->Input invalid error:Validates input as being correct-->Validates input as being correct:System updates record in the database-->System updates record in the database:building/hubdb,Add buildings/hubs to the datbase,TRAN_NA,9,5,9,8,81
13,stl#Supervisor:Add building/hub button-->Supervisor:Add building/hub button-->Add building/hub button:Redirects to the add building/hub form page-->Redirects to the add building/hub form page:Building/hub form page-->Building/hub form page:System validates input-->System validates input:Input invalid error-->Input invalid error:Validates input as being correct-->Validates input as being correct:System updates record in the database-->System updates record in the database:Redirects to the management buildings/hubs/disasters page-->Redirects to the management buildings/hubs/disasters page:Manage bildings/hubs/disasters page,Add buildings/hubs to the datbase,TRAN_NA,10,6,9,9,90
