id,path,transactional,path_length,diagram,useCase
1,User->thread information input page->Check the input thread information->Invalid input thread information,CTRL,4,start a thread,start a thread
2,User->thread information input page->Check the input thread information->Invalid input thread information,INT,4,start a thread,start a thread
3,User->thread information input page->Check the input thread information->Check SQL injections->Potential security error,CTRL,5,start a thread,start a thread
4,User->thread information input page->Check the input thread information->Check SQL injections->Potential security error,INT,5,start a thread,start a thread
5,User->thread information input page->Check the input thread information->Check SQL injections->save thread->thread,CTRL,6,start a thread,start a thread
6,User->thread information input page->Check the input thread information->Check SQL injections->save thread->thread,DM,6,start a thread,start a thread
7,User->thread information input page->Check the input thread information->Check SQL injections->save thread->thread,EI,6,start a thread,start a thread
8,User->thread information input page->Check the input thread information->Check SQL injections->save thread->Thread is posted successfully,CTRL,6,start a thread,start a thread
9,User->thread information input page->Check the input thread information->Check SQL injections->save thread->Thread is posted successfully,INT,6,start a thread,start a thread
10,User->start a thread button->load thread information input page->thread information input page,CTRL,4,start a thread,start a thread
11,User->start a thread button->load thread information input page->thread information input page,INT,4,start a thread,start a thread
12,User->search forum button->load search form page->search form page,CTRL,4,Search the forum,Search the forum
13,User->search forum button->load search form page->search form page,INT,4,Search the forum,Search the forum
14,User->search form page->validate search input->search forum by input information->No result matched message,CTRL,5,Search the forum,Search the forum
15,User->search form page->validate search input->search forum by input information->No result matched message,INT,5,Search the forum,Search the forum
16,User->search form page->validate search input->search forum by input information->forum,CTRL,5,Search the forum,Search the forum
17,User->search form page->validate search input->search forum by input information->forum,DM,5,Search the forum,Search the forum
18,User->search form page->validate search input->search forum by input information->forum,EI,5,Search the forum,Search the forum
19,User->search form page->validate search input->Invalid search input,CTRL,4,Search the forum,Search the forum
20,User->search form page->validate search input->Invalid search input,INT,4,Search the forum,Search the forum
21,User->like post button->save the like status->Like information,CTRL,4,Like a thread or a post,Like a thread or a post
22,User->like post button->save the like status->Like information,DM,4,Like a thread or a post,Like a thread or a post
23,User->like post button->save the like status->Like information,EI,4,Like a thread or a post,Like a thread or a post
24,User->like post button->save the like status->update like number of thread->thread,CTRL,5,Like a thread or a post,Like a thread or a post
25,User->like post button->save the like status->update like number of thread->thread,DM,5,Like a thread or a post,Like a thread or a post
26,User->like post button->save the like status->update like number of thread->thread,EI,5,Like a thread or a post,Like a thread or a post
27,User->like post button->save the like status->update like number of thread->calculate points of the owner->post is liked message,CTRL,6,Like a thread or a post,Like a thread or a post
28,User->like post button->save the like status->update like number of thread->calculate points of the owner->post is liked message,INT,6,Like a thread or a post,Like a thread or a post
29,User->like post button->save the like status->update like number of thread->calculate points of the owner->thread is liked message,CTRL,6,Like a thread or a post,Like a thread or a post
30,User->like post button->save the like status->update like number of thread->calculate points of the owner->thread is liked message,INT,6,Like a thread or a post,Like a thread or a post
31,User->like post button->save the like status->update like number of thread->calculate points of the owner->point,CTRL,6,Like a thread or a post,Like a thread or a post
32,User->like post button->save the like status->update like number of thread->calculate points of the owner->point,DM,6,Like a thread or a post,Like a thread or a post
33,User->like post button->save the like status->update like number of thread->calculate points of the owner->point,EI,6,Like a thread or a post,Like a thread or a post
34,User->like post button->save the like status->update like number of thread->grayed out thread like button,CTRL,5,Like a thread or a post,Like a thread or a post
35,User->like post button->save the like status->update like number of thread->grayed out thread like button,INT,5,Like a thread or a post,Like a thread or a post
