id,transaction,useCase,transactional,TL, DETs, TD, TC, Arch_Diff
1,stl#User:email already exists->User:email already exists,Invite frieds through email,CTRL;EXTCLL;INT,2,1,4,1,8
2,stl#User:fried already exist message->User:fried already exist message,Invite frieds through email,CTRL,2,0,2,1,4
3,stl#User:invite friend form->User:invite friend form->invite friend form:Check if input is valid->Check if input is valid:information input invalid message->information input invalid message:cancel selections->cancel selections:invite friend form->invite friend form:Check if input is valid,Invite frieds through email,TRAN_NA,7,1,4.333333333333333,6,30.333333333333332
4,stl#User:invite friend form->User:invite friend form->invite friend form:Check if input is valid->Check if input is valid:Check if friend already exists->Check if friend already exists:fried already exist message,Invite frieds through email,TRAN_NA,5,0,3.75,4,18.75
5,stl#User:invite friend form->User:invite friend form->invite friend form:Check if input is valid->Check if input is valid:Check if friend already exists->Check if friend already exists:friend,Invite frieds through email,TRAN_NA,5,0,3.75,4,18.75
6,stl#User:invite friend form->User:invite friend form->invite friend form:Check if input is valid->Check if input is valid:Check if friend already exists->Check if friend already exists:Check if email already exists->Check if email already exists:email already exists,Invite frieds through email,TRAN_NA,6,2,4.2,5,25.200000000000003
7,stl#User:invite friend form->User:invite friend form->invite friend form:Check if input is valid->Check if input is valid:Check if friend already exists->Check if friend already exists:Check if email already exists->Check if email already exists:invitation,Invite frieds through email,TRAN_NA,6,2,5.2,5,31.200000000000003
8,stl#User:invite friend form->User:invite friend form->invite friend form:Check if input is valid->Check if input is valid:Check if friend already exists->Check if friend already exists:Check if email already exists->Check if email already exists:Send an invitation email->Send an invitation email:Email protocol,Invite frieds through email,TRAN_NA,7,3,5,6,35
9,stl#User:invite friend form->User:invite friend form->invite friend form:Check if input is valid->Check if input is valid:Check if friend already exists->Check if friend already exists:Check if email already exists->Check if email already exists:Invitation paage,Invite frieds through email,TRAN_NA,6,2,5.2,5,31.200000000000003
10,stl#User:Invitation paage->User:Invitation paage,Invite frieds through email,CTRL;EXTCLL;DM;EI,2,0,9,1,18
11,stl#User:information input invalid message->User:information input invalid message->information input invalid message:cancel selections->cancel selections:invite friend form->invite friend form:Check if input is valid->Check if input is valid:information input invalid message->information input invalid message:cancel selections,Invite frieds through email,TRAN_NA,7,2,3.1666666666666665,6,22.166666666666664
12,stl#User:information input invalid message->User:information input invalid message->information input invalid message:cancel selections->cancel selections:invite friend form->invite friend form:Check if input is valid->Check if input is valid:Check if friend already exists->Check if friend already exists:fried already exist message,Invite frieds through email,TRAN_NA,7,1,3.1666666666666665,6,22.166666666666664
13,stl#User:information input invalid message->User:information input invalid message->information input invalid message:cancel selections->cancel selections:invite friend form->invite friend form:Check if input is valid->Check if input is valid:Check if friend already exists->Check if friend already exists:friend,Invite frieds through email,TRAN_NA,7,1,3.1666666666666665,6,22.166666666666664
14,stl#User:information input invalid message->User:information input invalid message->information input invalid message:cancel selections->cancel selections:invite friend form->invite friend form:Check if input is valid->Check if input is valid:Check if friend already exists->Check if friend already exists:Check if email already exists->Check if email already exists:email already exists,Invite frieds through email,TRAN_NA,8,3,3.5714285714285716,7,28.571428571428573
15,stl#User:information input invalid message->User:information input invalid message->information input invalid message:cancel selections->cancel selections:invite friend form->invite friend form:Check if input is valid->Check if input is valid:Check if friend already exists->Check if friend already exists:Check if email already exists->Check if email already exists:invitation,Invite frieds through email,TRAN_NA,8,3,4.285714285714286,7,34.285714285714285
16,stl#User:information input invalid message->User:information input invalid message->information input invalid message:cancel selections->cancel selections:invite friend form->invite friend form:Check if input is valid->Check if input is valid:Check if friend already exists->Check if friend already exists:Check if email already exists->Check if email already exists:Send an invitation email->Send an invitation email:Email protocol,Invite frieds through email,TRAN_NA,9,4,4.25,8,38.25
17,stl#User:information input invalid message->User:information input invalid message->information input invalid message:cancel selections->cancel selections:invite friend form->invite friend form:Check if input is valid->Check if input is valid:Check if friend already exists->Check if friend already exists:Check if email already exists->Check if email already exists:Invitation paage,Invite frieds through email,TRAN_NA,8,3,4.285714285714286,7,34.285714285714285
18,stl#Email protocol:check email sent status->Email protocol:check email sent status->check email sent status:invitation,Invite frieds through email,TRAN_NA,3,1,5.5,2,16.5
19,stl#Email protocol:check email sent status->Email protocol:check email sent status->check email sent status:show invitation page->show invitation page:Invitation paage,Invite frieds through email,TRAN_NA,4,2,6.666666666666667,3,26.666666666666668
