id,transaction,useCase,transactional,TL, DETs, TD, TC, Arch_Diff
1,stl#Jobseeker:user information update page-->Jobseeker:user information update page-->user information update page:check if email id and number are valid-->check if email id and number are valid:send details in an encrypted fashion to search-->send details in an encrypted fashion to search:check if email id and model number are existing-->check if email id and model number are existing:input the detail into user database-->input the detail into user database:send saving notification-->send saving notification:saving success message,Create/update user profile,TRAN_NA,8,0,4.285714285714286,7,34.285714285714285
2,stl#Jobseeker:user information update page-->Jobseeker:user information update page-->user information update page:check if email id and number are valid-->check if email id and number are valid:send details in an encrypted fashion to search-->send details in an encrypted fashion to search:check if email id and model number are existing-->check if email id and model number are existing:input the detail into user database-->input the detail into user database:send saving notification-->send saving notification:save the info to local storage-->save the info to local storage:home page,Create/update user profile,TRAN_NA,9,1,4.25,8,38.25
3,stl#Jobseeker:user information update page-->Jobseeker:user information update page-->user information update page:check if email id and number are valid-->check if email id and number are valid:send details in an encrypted fashion to search-->send details in an encrypted fashion to search:check if email id and model number are existing-->check if email id and model number are existing:input the detail into user database-->input the detail into user database:send saving notification-->send saving notification:save the info to local storage-->save the info to local storage:display success message and redirect to home page,Create/update user profile,TRAN_NA,9,1,4.375,8,39.375
4,stl#Jobseeker:user information update page-->Jobseeker:user information update page-->user information update page:check if email id and number are valid-->check if email id and number are valid:send details in an encrypted fashion to search-->send details in an encrypted fashion to search:check if email id and model number are existing-->check if email id and model number are existing:input the detail into user database-->input the detail into user database:send saving notification-->send saving notification:save the info to local storage-->save the info to local storage:Local storage,Create/update user profile,TRAN_NA,9,2,4.25,8,38.25
5,stl#Jobseeker:user information update page-->Jobseeker:user information update page-->user information update page:check if email id and number are valid-->check if email id and number are valid:send details in an encrypted fashion to search-->send details in an encrypted fashion to search:check if email id and model number are existing-->check if email id and model number are existing:input the detail into user database-->input the detail into user database:user database,Create/update user profile,TRAN_NA,7,1,3.8333333333333335,6,26.833333333333336
6,stl#Jobseeker:user information update page-->Jobseeker:user information update page-->user information update page:check if email id and number are valid-->check if email id and number are valid:Invalid detail input message,Create/update user profile,TRAN_NA,4,0,4.333333333333333,3,17.333333333333332
7,stl#Jobseeker:saving success message-->Jobseeker:saving success message,Create/update user profile,CTRL;EXTCLL;INT,2,0,6,1,12
8,stl#Jobseeker:home page-->Jobseeker:home page,Create/update user profile,CTRL;EXTCLL;INT,2,0,5,1,10
9,stl#Jobseeker:User Profile button-->Jobseeker:User Profile button-->User Profile button:redirect to profile page-->redirect to profile page:user information update page-->user information update page:check if email id and number are valid-->check if email id and number are valid:send details in an encrypted fashion to search-->send details in an encrypted fashion to search:check if email id and model number are existing-->check if email id and model number are existing:input the detail into user database-->input the detail into user database:send saving notification-->send saving notification:saving success message,Create/update user profile,TRAN_NA,10,0,4.111111111111111,9,41.11111111111111
10,stl#Jobseeker:User Profile button-->Jobseeker:User Profile button-->User Profile button:redirect to profile page-->redirect to profile page:user information update page-->user information update page:check if email id and number are valid-->check if email id and number are valid:send details in an encrypted fashion to search-->send details in an encrypted fashion to search:check if email id and model number are existing-->check if email id and model number are existing:input the detail into user database-->input the detail into user database:send saving notification-->send saving notification:save the info to local storage-->save the info to local storage:home page,Create/update user profile,TRAN_NA,11,1,4.1,10,45.099999999999994
11,stl#Jobseeker:User Profile button-->Jobseeker:User Profile button-->User Profile button:redirect to profile page-->redirect to profile page:user information update page-->user information update page:check if email id and number are valid-->check if email id and number are valid:send details in an encrypted fashion to search-->send details in an encrypted fashion to search:check if email id and model number are existing-->check if email id and model number are existing:input the detail into user database-->input the detail into user database:send saving notification-->send saving notification:save the info to local storage-->save the info to local storage:display success message and redirect to home page,Create/update user profile,TRAN_NA,11,1,4.2,10,46.2
12,stl#Jobseeker:User Profile button-->Jobseeker:User Profile button-->User Profile button:redirect to profile page-->redirect to profile page:user information update page-->user information update page:check if email id and number are valid-->check if email id and number are valid:send details in an encrypted fashion to search-->send details in an encrypted fashion to search:check if email id and model number are existing-->check if email id and model number are existing:input the detail into user database-->input the detail into user database:send saving notification-->send saving notification:save the info to local storage-->save the info to local storage:Local storage,Create/update user profile,TRAN_NA,11,2,4.1,10,45.099999999999994
13,stl#Jobseeker:User Profile button-->Jobseeker:User Profile button-->User Profile button:redirect to profile page-->redirect to profile page:user information update page-->user information update page:check if email id and number are valid-->check if email id and number are valid:send details in an encrypted fashion to search-->send details in an encrypted fashion to search:check if email id and model number are existing-->check if email id and model number are existing:input the detail into user database-->input the detail into user database:user database,Create/update user profile,TRAN_NA,9,1,3.75,8,33.75
14,stl#Jobseeker:User Profile button-->Jobseeker:User Profile button-->User Profile button:redirect to profile page-->redirect to profile page:user information update page-->user information update page:check if email id and number are valid-->check if email id and number are valid:Invalid detail input message,Create/update user profile,TRAN_NA,6,0,4,5,24
15,stl#Jobseeker:Invalid detail input message-->Jobseeker:Invalid detail input message,Create/update user profile,CTRL;EXTCLL;INT,2,0,6,1,12
