id,transaction,useCase,transaction_length, boundry_num, control_num, entity_num, actor_num
1,stl#Admin:business list->Admin:business list->business list:query information for a specific business->query information for a specific business:business,Add a new business,4,0,3,0,0
2,stl#Admin:business list->Admin:business list->business list:query information for a specific business->query information for a specific business:business info->business info:save the approval status of the business->save the approval status of the business:business,Add a new business,6,0,4,1,0
3,stl#Admin:added business button->Admin:added business button->added business button:redirect to search panel->redirect to search panel:business input information->business input information:save business information for verification->save business information for verification:business,Add a new business,6,1,3,0,1
4,stl#Admin:business info->Admin:business info->business info:save the approval status of the business->save the approval status of the business:business,Add a new business,4,0,2,1,0
5,stl#User:business input information->User:business input information->business input information:save business information for verification->save business information for verification:business,Add a new business,4,0,2,0,1
6,stl#User:Add a business button->User:Add a business button->Add a business button:display add business page->display add business page:business input information->business input information:save business information for verification->save business information for verification:business,Add a new business,6,0,4,0,1
7,stl#Admin:list of claims->Admin:list of claims->list of claims:Query claim detail->Query claim detail:Claim Detail->Claim Detail:save the approval status of claim->save the approval status of claim:claim information,Business Claim,6,0,5,0,0
8,stl#Admin:list of claims->Admin:list of claims->list of claims:Query claim detail->Query claim detail:Claim Detail->Claim Detail:save the approval status of claim->save the approval status of claim:remove claim information->remove claim information:claim information,Business Claim,7,0,6,0,0
9,stl#Admin:list of claims->Admin:list of claims->list of claims:Query claim detail->Query claim detail:claim information,Business Claim,4,0,3,0,0
10,stl#Admin:Claim Detail->Admin:Claim Detail->Claim Detail:save the approval status of claim->save the approval status of claim:claim information,Business Claim,4,0,3,0,0
11,stl#Admin:Claim Detail->Admin:Claim Detail->Claim Detail:save the approval status of claim->save the approval status of claim:remove claim information->remove claim information:claim information,Business Claim,5,0,4,0,0
12,stl#Admin:load claims button->Admin:load claims button->load claims button:display claims requests->display claims requests:claim information,Business Claim,4,0,3,0,0
13,stl#Admin:load claims button->Admin:load claims button->load claims button:display claims requests->display claims requests:list of claims->list of claims:Query claim detail->Query claim detail:Claim Detail->Claim Detail:save the approval status of claim->save the approval status of claim:claim information,Business Claim,8,0,7,0,0
14,stl#Admin:load claims button->Admin:load claims button->load claims button:display claims requests->display claims requests:list of claims->list of claims:Query claim detail->Query claim detail:Claim Detail->Claim Detail:save the approval status of claim->save the approval status of claim:remove claim information->remove claim information:claim information,Business Claim,9,0,8,0,0
15,stl#Admin:load claims button->Admin:load claims button->load claims button:display claims requests->display claims requests:list of claims->list of claims:Query claim detail->Query claim detail:claim information,Business Claim,6,0,5,0,0
16,stl#User:Claim button->User:Claim button->Claim button:display claim page->display claim page:claim page->claim page:save claim information for verification->save claim information for verification:claim information,Business Claim,6,0,5,0,0
17,stl#User:claim page->User:claim page->claim page:save claim information for verification->save claim information for verification:claim information,Business Claim,4,0,3,0,0
18,stl#Admin:Registration Detail->Admin:Registration Detail->Registration Detail:save the approval status of registration->save the approval status of registration:registration information,Business Owner Registration,4,1,2,0,0
19,stl#Admin:registration button->Admin:registration button->registration button:display registratiion requests->display registratiion requests:list of registrations->list of registrations:Query registration detail->Query registration detail:registration information,Business Owner Registration,6,3,2,0,0
20,stl#Admin:registration button->Admin:registration button->registration button:display registratiion requests->display registratiion requests:list of registrations->list of registrations:Query registration detail->Query registration detail:Registration Detail->Registration Detail:save the approval status of registration->save the approval status of registration:registration information,Business Owner Registration,8,4,3,0,0
21,stl#Admin:registration button->Admin:registration button->registration button:display registratiion requests->display registratiion requests:registration information,Business Owner Registration,4,1,2,0,0
22,stl#Admin:registration button->Admin:registration button->registration button:redirect to search panel->redirect to search panel:registration page->registration page:save information for verification->save information for verification:registration information,Business Owner Registration,6,3,2,0,0
23,stl#Admin:list of registrations->Admin:list of registrations->list of registrations:Query registration detail->Query registration detail:registration information,Business Owner Registration,4,2,1,0,0
24,stl#Admin:list of registrations->Admin:list of registrations->list of registrations:Query registration detail->Query registration detail:Registration Detail->Registration Detail:save the approval status of registration->save the approval status of registration:registration information,Business Owner Registration,6,3,2,0,0
25,stl#User:registration page->User:registration page->registration page:save information for verification->save information for verification:registration information,Business Owner Registration,4,1,2,0,0
26,stl#User:Register button->User:Register button->Register button:display registration page->display registration page:registration page->registration page:save information for verification->save information for verification:registration information,Business Owner Registration,6,3,2,0,0
27,stl#User:Home page->User:Home page->Home page:display selection panel->display selection panel:operation selection panel->operation selection panel:Query business by options->Query business by options:No result found message->No result found message:redirect to search panel->redirect to search panel:operation selection panel->operation selection panel:Query business by options,Search Business,9,4,4,0,0
28,stl#User:Home page->User:Home page->Home page:display selection panel->display selection panel:operation selection panel->operation selection panel:Query business by options->Query business by options:business,Search Business,6,1,4,0,0
29,stl#User:Home page->User:Home page->Home page:display selection panel->display selection panel:operation selection panel->operation selection panel:Query business by options->Query business by options:business list->business list:Query business information->Query business information:business,Search Business,8,1,6,0,0
30,stl#User:No result found message->User:No result found message->No result found message:redirect to search panel->redirect to search panel:operation selection panel->operation selection panel:Query business by options->Query business by options:No result found message->No result found message:redirect to search panel,Search Business,7,5,1,0,0
31,stl#User:No result found message->User:No result found message->No result found message:redirect to search panel->redirect to search panel:operation selection panel->operation selection panel:Query business by options->Query business by options:business,Search Business,6,3,2,0,0
32,stl#User:No result found message->User:No result found message->No result found message:redirect to search panel->redirect to search panel:operation selection panel->operation selection panel:Query business by options->Query business by options:business list->business list:Query business information->Query business information:business,Search Business,8,3,4,0,0
33,stl#User:business list->User:business list->business list:Query business information->Query business information:business,Search Business,4,0,3,0,0
34,stl#User:operation selection panel->User:operation selection panel->operation selection panel:Query business by options->Query business by options:No result found message->No result found message:redirect to search panel->redirect to search panel:operation selection panel->operation selection panel:Query business by options,Search Business,7,4,2,0,0
35,stl#User:operation selection panel->User:operation selection panel->operation selection panel:Query business by options->Query business by options:business,Search Business,4,1,2,0,0
36,stl#User:operation selection panel->User:operation selection panel->operation selection panel:Query business by options->Query business by options:business list->business list:Query business information->Query business information:business,Search Business,6,1,4,0,0
37,stl#Admin:create a response button->Admin:create a response button->create a response button:check if the question is already answered->check if the question is already answered:Send notification->Send notification:notification,Submit questions and responses,5,0,3,1,0
38,stl#Admin:create a response button->Admin:create a response button->create a response button:check if the question is already answered->check if the question is already answered:response,Submit questions and responses,4,0,1,2,0
39,stl#Admin:create a response button->Admin:create a response button->create a response button:check if the question is already answered->check if the question is already answered:display create a response page->display create a response page:create a response page->create a response page:save the response to db->save the response to db:response,Submit questions and responses,7,0,1,5,0
40,stl#Admin:create a response page->Admin:create a response page->create a response page:save the response to db->save the response to db:response,Submit questions and responses,4,0,0,3,0
41,stl#Admin:load questions button->Admin:load questions button->load questions button:load questions->load questions:create a response button->create a response button:check if the question is already answered->check if the question is already answered:Send notification->Send notification:notification,Submit questions and responses,7,0,5,1,0
42,stl#Admin:load questions button->Admin:load questions button->load questions button:load questions->load questions:create a response button->create a response button:check if the question is already answered->check if the question is already answered:response,Submit questions and responses,6,0,3,2,0
43,stl#Admin:load questions button->Admin:load questions button->load questions button:load questions->load questions:create a response button->create a response button:check if the question is already answered->check if the question is already answered:display create a response page->display create a response page:create a response page->create a response page:save the response to db->save the response to db:response,Submit questions and responses,9,0,3,5,0
44,stl#Admin:load questions button->Admin:load questions button->load questions button:load questions->load questions:questions,Submit questions and responses,4,0,3,0,0
45,stl#Client:create a response page->Client:create a response page->create a response page:save the response to db->save the response to db:response,Submit questions and responses,4,0,0,3,0
46,stl#Client:create a response button->Client:create a response button->create a response button:check if the question is already answered->check if the question is already answered:Send notification->Send notification:notification,Submit questions and responses,5,0,3,1,0
