id,transaction,useCase,transactional, TL, DETs, TD, TC, Arch_Diff
1,stl#Valet:manage employee screen->Valet:manage employee screen,Add Employee,CTRL;EXTCLL;INT,2,0,8,1,16
2,stl#Valet:system error when connecting server->Valet:system error when connecting server,Add Employee,CTRL,2,8,3,1,6
3,stl#Valet:valet information input page->Valet:valet information input page->valet information input page:validate the form->validate the form:input information invalid->input information invalid:remove valet from db->remove valet from db:system error when connecting server,Add Employee,TRAN_NA,6,8,1.8,5,10.8
4,stl#Valet:valet information input page->Valet:valet information input page->valet information input page:validate the form->validate the form:input information invalid->input information invalid:remove valet from db->remove valet from db:manage employee screen,Add Employee,TRAN_NA,6,0,2.8,5,16.799999999999997
5,stl#Valet:valet information input page->Valet:valet information input page->valet information input page:validate the form->validate the form:input information invalid->input information invalid:remove valet from db->remove valet from db:employee,Add Employee,TRAN_NA,6,1,2.8,5,16.799999999999997
6,stl#Valet:valet information input page->Valet:valet information input page->valet information input page:validate the form->validate the form:generate random empolyee id->generate random empolyee id:manage employee screen,Add Employee,TRAN_NA,5,0,4.5,4,22.5
7,stl#Valet:valet information input page->Valet:valet information input page->valet information input page:validate the form->validate the form:generate random empolyee id->generate random empolyee id:update employee information->update employee information:system error when connecting server,Add Employee,TRAN_NA,6,8,4.2,5,25.200000000000003
8,stl#Valet:valet information input page->Valet:valet information input page->valet information input page:validate the form->validate the form:generate random empolyee id->generate random empolyee id:update employee information->update employee information:employee,Add Employee,TRAN_NA,6,0,5.2,5,31.200000000000003
9,stl#Valet:valet information input page->Valet:valet information input page->valet information input page:validate the form->validate the form:generate random empolyee id->generate random empolyee id:Employee,Add Employee,TRAN_NA,5,0,4.5,4,22.5
10,stl#Valet:input information invalid->Valet:input information invalid->input information invalid:remove valet from db->remove valet from db:system error when connecting server,Add Employee,TRAN_NA,4,8,2.3333333333333335,3,9.333333333333334
11,stl#Valet:input information invalid->Valet:input information invalid->input information invalid:remove valet from db->remove valet from db:manage employee screen,Add Employee,TRAN_NA,4,0,4,3,16
12,stl#Valet:input information invalid->Valet:input information invalid->input information invalid:remove valet from db->remove valet from db:employee,Add Employee,TRAN_NA,4,1,4,3,16
13,stl#Valet:Error message when connecting->Valet:Error message when connecting,Add location,CTRL,2,8,2,1,4
14,stl#Valet:matched results for locations->Valet:matched results for locations,Add location,CTRL;EXTCLL;INT,2,0,3,1,6
15,stl#Valet:Invalid input address->Valet:Invalid input address->Invalid input address:redirect to addresss input page->redirect to addresss input page:address input dialog->address input dialog:validate the address form->validate the address form:search for best match->search for best match:Google Places API,Add location,TRAN_NA,7,10,4.833333333333333,6,33.83333333333333
16,stl#Valet:Invalid input address->Valet:Invalid input address->Invalid input address:redirect to addresss input page->redirect to addresss input page:address input dialog->address input dialog:validate the address form->validate the address form:search for best match->search for best match:matched results for locations,Add location,TRAN_NA,7,10,5.166666666666667,6,36.16666666666667
17,stl#Valet:Invalid input address->Valet:Invalid input address->Invalid input address:redirect to addresss input page->redirect to addresss input page:address input dialog->address input dialog:validate the address form->validate the address form:search for best match->search for best match:Error message when connecting,Add location,TRAN_NA,7,18,5,6,35
18,stl#Valet:Invalid input address->Valet:Invalid input address->Invalid input address:redirect to addresss input page->redirect to addresss input page:address input dialog->address input dialog:validate the address form->validate the address form:Invalid input address->Invalid input address:redirect to addresss input page,Add location,TRAN_NA,7,0,7.166666666666667,6,50.16666666666667
19,stl#Valet:Add location button->Valet:Add location button->Add location button:displays a prompt for inputing address->displays a prompt for inputing address:address input dialog->address input dialog:validate the address form->validate the address form:search for best match->search for best match:Google Places API,Add location,TRAN_NA,7,12,4,6,28
20,stl#Valet:Add location button->Valet:Add location button->Add location button:displays a prompt for inputing address->displays a prompt for inputing address:address input dialog->address input dialog:validate the address form->validate the address form:search for best match->search for best match:matched results for locations,Add location,TRAN_NA,7,12,4.333333333333333,6,30.333333333333332
21,stl#Valet:Add location button->Valet:Add location button->Add location button:displays a prompt for inputing address->displays a prompt for inputing address:address input dialog->address input dialog:validate the address form->validate the address form:search for best match->search for best match:Error message when connecting,Add location,TRAN_NA,7,20,4.166666666666667,6,29.166666666666668
22,stl#Valet:Add location button->Valet:Add location button->Add location button:displays a prompt for inputing address->displays a prompt for inputing address:address input dialog->address input dialog:validate the address form->validate the address form:Invalid input address->Invalid input address:redirect to addresss input page->redirect to addresss input page:address input dialog->address input dialog:validate the address form,Add location,TRAN_NA,9,2,6.125,8,55.125
23,stl#Valet:address input dialog->Valet:address input dialog->address input dialog:validate the address form->validate the address form:search for best match->search for best match:Google Places API,Add location,TRAN_NA,5,10,3.25,4,16.25
24,stl#Valet:address input dialog->Valet:address input dialog->address input dialog:validate the address form->validate the address form:search for best match->search for best match:matched results for locations,Add location,TRAN_NA,5,10,3.75,4,18.75
25,stl#Valet:address input dialog->Valet:address input dialog->address input dialog:validate the address form->validate the address form:search for best match->search for best match:Error message when connecting,Add location,TRAN_NA,5,18,3.5,4,17.5
26,stl#Valet:address input dialog->Valet:address input dialog->address input dialog:validate the address form->validate the address form:Invalid input address->Invalid input address:redirect to addresss input page->redirect to addresss input page:address input dialog->address input dialog:validate the address form,Add location,TRAN_NA,7,0,6.333333333333333,6,44.33333333333333
27,stl#Valet:Vehicle request screen->Valet:Vehicle request screen->Vehicle request screen:navigate to queue screen->navigate to queue screen:Advertisement for random venue,Check in as customer,TRAN_NA,4,0,8,3,32
28,stl#Valet:Vehicle request screen->Valet:Vehicle request screen->Vehicle request screen:pull advertisement for random venue->pull advertisement for random venue:venue,Check in as customer,TRAN_NA,4,1,8.333333333333334,3,33.333333333333336
29,stl#Valet:Vehicle request screen->Valet:Vehicle request screen->Vehicle request screen:pull advertisement for random venue->pull advertisement for random venue:Advertisement for random venue,Check in as customer,TRAN_NA,4,0,10,3,40
30,stl#Valet:Vehicle request screen->Valet:Vehicle request screen->Vehicle request screen:Save acceptance->Save acceptance:display server error message->display server error message:Server error message,Check in as customer,TRAN_NA,5,2,8,4,40
31,stl#Valet:Vehicle request screen->Valet:Vehicle request screen->Vehicle request screen:Save acceptance->Save acceptance:venue,Check in as customer,TRAN_NA,4,1,5,3,20
32,stl#Valet:Advertisement for random venue->Valet:Advertisement for random venue,Check in as customer,CTRL,2,0,12,1,24
33,stl#Valet:confirmation prompt->Valet:confirmation prompt->confirmation prompt:Redirect to venue list->Redirect to venue list:venue list->venue list:display confirmation prompt->display confirmation prompt:venue,Check in as customer,TRAN_NA,6,1,5.8,5,34.8
34,stl#Valet:confirmation prompt->Valet:confirmation prompt->confirmation prompt:Redirect to venue list->Redirect to venue list:venue list->venue list:display confirmation prompt->display confirmation prompt:server error,Check in as customer,TRAN_NA,6,1,6.8,5,40.8
35,stl#Valet:confirmation prompt->Valet:confirmation prompt->confirmation prompt:Redirect to venue list->Redirect to venue list:venue list->venue list:display confirmation prompt->display confirmation prompt:inactive employee,Check in as customer,TRAN_NA,6,0,6.8,5,40.8
36,stl#Valet:confirmation prompt->Valet:confirmation prompt->confirmation prompt:Redirect to venue list->Redirect to venue list:venue list->venue list:display confirmation prompt->display confirmation prompt:confirmation prompt->confirmation prompt:Redirect to venue list,Check in as customer,TRAN_NA,7,0,5.5,6,38.5
37,stl#Valet:confirmation prompt->Valet:confirmation prompt->confirmation prompt:Redirect to venue list->Redirect to venue list:venue list->venue list:display confirmation prompt->display confirmation prompt:confirmation prompt->confirmation prompt:Redirect to vehicle request screen->Redirect to vehicle request screen:Vehicle request screen->Vehicle request screen:navigate to queue screen->navigate to queue screen:Advertisement for random venue,Check in as customer,TRAN_NA,10,0,6.222222222222222,9,62.22222222222222
38,stl#Valet:confirmation prompt->Valet:confirmation prompt->confirmation prompt:Redirect to venue list->Redirect to venue list:venue list->venue list:display confirmation prompt->display confirmation prompt:confirmation prompt->confirmation prompt:Redirect to vehicle request screen->Redirect to vehicle request screen:Vehicle request screen->Vehicle request screen:pull advertisement for random venue->pull advertisement for random venue:venue,Check in as customer,TRAN_NA,10,1,6.333333333333333,9,63.33333333333333
39,stl#Valet:confirmation prompt->Valet:confirmation prompt->confirmation prompt:Redirect to venue list->Redirect to venue list:venue list->venue list:display confirmation prompt->display confirmation prompt:confirmation prompt->confirmation prompt:Redirect to vehicle request screen->Redirect to vehicle request screen:Vehicle request screen->Vehicle request screen:pull advertisement for random venue->pull advertisement for random venue:Advertisement for random venue,Check in as customer,TRAN_NA,10,0,6.888888888888889,9,68.88888888888889
40,stl#Valet:confirmation prompt->Valet:confirmation prompt->confirmation prompt:Redirect to venue list->Redirect to venue list:venue list->venue list:display confirmation prompt->display confirmation prompt:confirmation prompt->confirmation prompt:Redirect to vehicle request screen->Redirect to vehicle request screen:Vehicle request screen->Vehicle request screen:Save acceptance->Save acceptance:display server error message->display server error message:Server error message,Check in as customer,TRAN_NA,11,2,6.4,10,70.4
41,stl#Valet:confirmation prompt->Valet:confirmation prompt->confirmation prompt:Redirect to venue list->Redirect to venue list:venue list->venue list:display confirmation prompt->display confirmation prompt:confirmation prompt->confirmation prompt:Redirect to vehicle request screen->Redirect to vehicle request screen:Vehicle request screen->Vehicle request screen:Save acceptance->Save acceptance:venue,Check in as customer,TRAN_NA,10,1,5.222222222222222,9,52.22222222222222
42,stl#Valet:confirmation prompt->Valet:confirmation prompt->confirmation prompt:Redirect to vehicle request screen->Redirect to vehicle request screen:Vehicle request screen->Vehicle request screen:navigate to queue screen->navigate to queue screen:Advertisement for random venue,Check in as customer,TRAN_NA,6,0,6.8,5,40.8
43,stl#Valet:confirmation prompt->Valet:confirmation prompt->confirmation prompt:Redirect to vehicle request screen->Redirect to vehicle request screen:Vehicle request screen->Vehicle request screen:pull advertisement for random venue->pull advertisement for random venue:venue,Check in as customer,TRAN_NA,6,1,7,5,42
44,stl#Valet:confirmation prompt->Valet:confirmation prompt->confirmation prompt:Redirect to vehicle request screen->Redirect to vehicle request screen:Vehicle request screen->Vehicle request screen:pull advertisement for random venue->pull advertisement for random venue:Advertisement for random venue,Check in as customer,TRAN_NA,6,0,8,5,48
45,stl#Valet:confirmation prompt->Valet:confirmation prompt->confirmation prompt:Redirect to vehicle request screen->Redirect to vehicle request screen:Vehicle request screen->Vehicle request screen:Save acceptance->Save acceptance:display server error message->display server error message:Server error message,Check in as customer,TRAN_NA,7,2,7,6,49
46,stl#Valet:confirmation prompt->Valet:confirmation prompt->confirmation prompt:Redirect to vehicle request screen->Redirect to vehicle request screen:Vehicle request screen->Vehicle request screen:Save acceptance->Save acceptance:venue,Check in as customer,TRAN_NA,6,1,5,5,30
47,stl#Valet:inactive employee->Valet:inactive employee,Check in as customer,CTRL,2,0,12,1,24
48,stl#Valet:Server error message->Valet:Server error message,Check in as customer,CTRL,2,0,12,1,24
49,stl#Valet:venue list->Valet:venue list->venue list:display confirmation prompt->display confirmation prompt:venue,Check in as customer,TRAN_NA,4,2,6,3,24
50,stl#Valet:venue list->Valet:venue list->venue list:display confirmation prompt->display confirmation prompt:server error,Check in as customer,TRAN_NA,4,2,7.666666666666667,3,30.666666666666668
51,stl#Valet:venue list->Valet:venue list->venue list:display confirmation prompt->display confirmation prompt:inactive employee,Check in as customer,TRAN_NA,4,1,7.666666666666667,3,30.666666666666668
52,stl#Valet:venue list->Valet:venue list->venue list:display confirmation prompt->display confirmation prompt:confirmation prompt->confirmation prompt:Redirect to venue list->Redirect to venue list:venue list->venue list:display confirmation prompt,Check in as customer,TRAN_NA,7,1,5.5,6,38.5
53,stl#Valet:venue list->Valet:venue list->venue list:display confirmation prompt->display confirmation prompt:confirmation prompt->confirmation prompt:Redirect to vehicle request screen->Redirect to vehicle request screen:Vehicle request screen->Vehicle request screen:navigate to queue screen->navigate to queue screen:Advertisement for random venue,Check in as customer,TRAN_NA,8,1,6.428571428571429,7,51.42857142857143
54,stl#Valet:venue list->Valet:venue list->venue list:display confirmation prompt->display confirmation prompt:confirmation prompt->confirmation prompt:Redirect to vehicle request screen->Redirect to vehicle request screen:Vehicle request screen->Vehicle request screen:pull advertisement for random venue->pull advertisement for random venue:venue,Check in as customer,TRAN_NA,8,2,6.571428571428571,7,52.57142857142857
55,stl#Valet:venue list->Valet:venue list->venue list:display confirmation prompt->display confirmation prompt:confirmation prompt->confirmation prompt:Redirect to vehicle request screen->Redirect to vehicle request screen:Vehicle request screen->Vehicle request screen:pull advertisement for random venue->pull advertisement for random venue:Advertisement for random venue,Check in as customer,TRAN_NA,8,1,7.285714285714286,7,58.285714285714285
56,stl#Valet:venue list->Valet:venue list->venue list:display confirmation prompt->display confirmation prompt:confirmation prompt->confirmation prompt:Redirect to vehicle request screen->Redirect to vehicle request screen:Vehicle request screen->Vehicle request screen:Save acceptance->Save acceptance:display server error message->display server error message:Server error message,Check in as customer,TRAN_NA,9,3,6.625,8,59.625
57,stl#Valet:venue list->Valet:venue list->venue list:display confirmation prompt->display confirmation prompt:confirmation prompt->confirmation prompt:Redirect to vehicle request screen->Redirect to vehicle request screen:Vehicle request screen->Vehicle request screen:Save acceptance->Save acceptance:venue,Check in as customer,TRAN_NA,8,2,5.142857142857143,7,41.142857142857146
58,stl#Valet:server error->Valet:server error,Check in as customer,CTRL,2,0,12,1,24
59,stl#Valet:Queue screen->Valet:Queue screen,Check in as valet,CTRL;EXTCLL;DM;EI,2,0,4,1,8
60,stl#Valet:venue list->Valet:venue list->venue list:check if active->check if active:inactive employee,Check in as valet,TRAN_NA,4,1,5.333333333333333,3,21.333333333333332
61,stl#Valet:venue list->Valet:venue list->venue list:check if active->check if active:valet,Check in as valet,TRAN_NA,4,2,4.333333333333333,3,17.333333333333332
62,stl#Valet:venue list->Valet:venue list->venue list:check if active->check if active:check if venue is checked in->check if venue is checked in:checked in by another valet->checked in by another valet:Redirect to venue list->Redirect to venue list:venue list->venue list:check if active,Check in as valet,TRAN_NA,8,1,5.428571428571429,7,43.42857142857143
63,stl#Valet:venue list->Valet:venue list->venue list:check if active->check if active:check if venue is checked in->check if venue is checked in:venue,Check in as valet,TRAN_NA,5,2,5.5,4,27.5
64,stl#Valet:Confirmation request dialog->Valet:Confirmation request dialog->Confirmation request dialog:navigate to queue screen->navigate to queue screen:Queue screen,Check in as valet,TRAN_NA,4,0,4,3,16
65,stl#Valet:Confirmation request dialog->Valet:Confirmation request dialog->Confirmation request dialog:Save acceptance->Save acceptance:valet,Check in as valet,TRAN_NA,4,2,2.3333333333333335,3,9.333333333333334
66,stl#Valet:Confirmation request dialog->Valet:Confirmation request dialog->Confirmation request dialog:Save acceptance->Save acceptance:display server error message->display server error message:Server error message,Check in as valet,TRAN_NA,5,3,3.75,4,18.75
67,stl#Valet:Confirmation request dialog->Valet:Confirmation request dialog->Confirmation request dialog:Save acceptance->Save acceptance:venue,Check in as valet,TRAN_NA,4,2,3.6666666666666665,3,14.666666666666666
68,stl#Valet:checked in by another valet->Valet:checked in by another valet->checked in by another valet:Redirect to venue list->Redirect to venue list:venue list->venue list:check if active->check if active:inactive employee,Check in as valet,TRAN_NA,6,0,5.4,5,32.400000000000006
69,stl#Valet:checked in by another valet->Valet:checked in by another valet->checked in by another valet:Redirect to venue list->Redirect to venue list:venue list->venue list:check if active->check if active:valet,Check in as valet,TRAN_NA,6,1,4.8,5,28.799999999999997
70,stl#Valet:checked in by another valet->Valet:checked in by another valet->checked in by another valet:Redirect to venue list->Redirect to venue list:venue list->venue list:check if active->check if active:check if venue is checked in->check if venue is checked in:checked in by another valet->checked in by another valet:Redirect to venue list,Check in as valet,TRAN_NA,8,0,5.428571428571429,7,43.42857142857143
71,stl#Valet:checked in by another valet->Valet:checked in by another valet->checked in by another valet:Redirect to venue list->Redirect to venue list:venue list->venue list:check if active->check if active:check if venue is checked in->check if venue is checked in:venue,Check in as valet,TRAN_NA,7,1,5.5,6,38.5
72,stl#Customer:registration information invalid message->Customer:registration information invalid message,Register as Customer,CTRL;EXTCLL;INT,2,0,4,1,8
73,stl#Customer:successfully save registration information->Customer:successfully save registration information->successfully save registration information:main page->main page:main page,Register as Customer,TRAN_NA,4,1,4,3,16
74,stl#Customer:system error message->Customer:system error message,Register as Customer,CTRL,2,0,6,1,12
75,stl#Customer:system error when saving registration information->Customer:system error when saving registration information,Register as Customer,CTRL,2,1,6,1,12
76,stl#Customer:main page->Customer:main page,Register as Customer,CTRL,2,0,4,1,8
77,stl#Customer:registration page->Customer:registration page->registration page:validate registration information->validate registration information:save customer information->save customer information:system error message,Register as Customer,TRAN_NA,5,1,6,4,30
78,stl#Customer:registration page->Customer:registration page->registration page:validate registration information->validate registration information:save customer information->save customer information:successfully save registration information->successfully save registration information:main page->main page:main page,Register as Customer,TRAN_NA,7,2,5,6,35
79,stl#Customer:registration page->Customer:registration page->registration page:validate registration information->validate registration information:save customer information->save customer information:system error when saving registration information,Register as Customer,TRAN_NA,5,2,6,4,30
80,stl#Customer:registration page->Customer:registration page->registration page:validate registration information->validate registration information:save customer information->save customer information:customer,Register as Customer,TRAN_NA,5,2,5.5,4,27.5
81,stl#Customer:registration page->Customer:registration page->registration page:validate registration information->validate registration information:registration information invalid message,Register as Customer,TRAN_NA,4,1,6,3,24
82,stl#Customer:registration page->Customer:registration page->registration page:validate registration information->validate registration information:duplicate registration information,Register as Customer,TRAN_NA,4,0,7,3,28
83,stl#Customer:registration page->Customer:registration page->registration page:validate registration information->validate registration information:display spinner while saving information,Register as Customer,TRAN_NA,4,0,6.666666666666667,3,26.666666666666668
84,stl#Customer:registration page->Customer:registration page->registration page:validate registration information->validate registration information:customer,Register as Customer,TRAN_NA,4,1,6,3,24
