id,transaction,useCase,transaction_length, boundry_num, control_num, entity_num, actor_num
1,stl#Jobseeker:description page->Jobseeker:description page,Subscribe for notifications,2,1,0,0,0
2,stl#Jobseeker:display success message->Jobseeker:display success message->display success message:redirect to job description page->redirect to job description page:description page,Subscribe for notifications,4,1,2,0,0
3,stl#Jobseeker:email or text message notification choice->Jobseeker:email or text message notification choice->email or text message notification choice:redirect to profile details page->redirect to profile details page:profile details page->profile details page:send job id subscription method and user details to search in encrypted fashion->send job id subscription method and user details to search in encrypted fashion:display success message->display success message:redirect to job description page->redirect to job description page:description page,Subscribe for notifications,8,3,4,0,0
4,stl#Jobseeker:email or text message notification choice->Jobseeker:email or text message notification choice->email or text message notification choice:redirect to profile details page->redirect to profile details page:profile details page->profile details page:send job id subscription method and user details to search in encrypted fashion->send job id subscription method and user details to search in encrypted fashion:save detail into user profile database->save detail into user profile database:user profile database,Subscribe for notifications,7,2,4,0,0
5,stl#Jobseeker:email or text message notification choice->Jobseeker:email or text message notification choice->email or text message notification choice:redirect to profile details page->redirect to profile details page:profile details page->profile details page:send job id subscription method and user details to search in encrypted fashion->send job id subscription method and user details to search in encrypted fashion:time out error message,Subscribe for notifications,6,2,3,0,0
6,stl#Jobseeker:profile details page->Jobseeker:profile details page->profile details page:send job id subscription method and user details to search in encrypted fashion->send job id subscription method and user details to search in encrypted fashion:display success message->display success message:redirect to job description page->redirect to job description page:description page,Subscribe for notifications,6,2,3,0,0
7,stl#Jobseeker:profile details page->Jobseeker:profile details page->profile details page:send job id subscription method and user details to search in encrypted fashion->send job id subscription method and user details to search in encrypted fashion:save detail into user profile database->save detail into user profile database:user profile database,Subscribe for notifications,5,1,3,0,0
8,stl#Jobseeker:profile details page->Jobseeker:profile details page->profile details page:send job id subscription method and user details to search in encrypted fashion->send job id subscription method and user details to search in encrypted fashion:time out error message,Subscribe for notifications,4,1,2,0,0
9,stl#Jobseeker:subscribe button->Jobseeker:subscribe button->subscribe button:redirect to the subscription page->redirect to the subscription page:subscription page->subscription page:read existing information->read existing information:email or text message notification choice->email or text message notification choice:redirect to profile details page->redirect to profile details page:profile details page->profile details page:send job id subscription method and user details to search in encrypted fashion->send job id subscription method and user details to search in encrypted fashion:display success message->display success message:redirect to job description page->redirect to job description page:description page,Subscribe for notifications,12,6,5,0,0
10,stl#Jobseeker:subscribe button->Jobseeker:subscribe button->subscribe button:redirect to the subscription page->redirect to the subscription page:subscription page->subscription page:read existing information->read existing information:email or text message notification choice->email or text message notification choice:redirect to profile details page->redirect to profile details page:profile details page->profile details page:send job id subscription method and user details to search in encrypted fashion->send job id subscription method and user details to search in encrypted fashion:save detail into user profile database->save detail into user profile database:user profile database,Subscribe for notifications,11,5,5,0,0
11,stl#Jobseeker:subscribe button->Jobseeker:subscribe button->subscribe button:redirect to the subscription page->redirect to the subscription page:subscription page->subscription page:read existing information->read existing information:email or text message notification choice->email or text message notification choice:redirect to profile details page->redirect to profile details page:profile details page->profile details page:send job id subscription method and user details to search in encrypted fashion->send job id subscription method and user details to search in encrypted fashion:time out error message,Subscribe for notifications,10,5,4,0,0
12,stl#Jobseeker:subscribe button->Jobseeker:subscribe button->subscribe button:redirect to the subscription page->redirect to the subscription page:subscription page->subscription page:read existing information->read existing information:form for inputting user information,Subscribe for notifications,6,4,1,0,0
13,stl#Jobseeker:subscribe button->Jobseeker:subscribe button->subscribe button:redirect to the subscription page->redirect to the subscription page:subscription page->subscription page:read existing information->read existing information:user profile database,Subscribe for notifications,6,3,2,0,0
14,stl#Jobseeker:subscription page->Jobseeker:subscription page->subscription page:read existing information->read existing information:email or text message notification choice->email or text message notification choice:redirect to profile details page->redirect to profile details page:profile details page->profile details page:send job id subscription method and user details to search in encrypted fashion->send job id subscription method and user details to search in encrypted fashion:display success message->display success message:redirect to job description page->redirect to job description page:description page,Subscribe for notifications,10,4,5,0,0
15,stl#Jobseeker:subscription page->Jobseeker:subscription page->subscription page:read existing information->read existing information:email or text message notification choice->email or text message notification choice:redirect to profile details page->redirect to profile details page:profile details page->profile details page:send job id subscription method and user details to search in encrypted fashion->send job id subscription method and user details to search in encrypted fashion:save detail into user profile database->save detail into user profile database:user profile database,Subscribe for notifications,9,3,5,0,0
16,stl#Jobseeker:subscription page->Jobseeker:subscription page->subscription page:read existing information->read existing information:email or text message notification choice->email or text message notification choice:redirect to profile details page->redirect to profile details page:profile details page->profile details page:send job id subscription method and user details to search in encrypted fashion->send job id subscription method and user details to search in encrypted fashion:time out error message,Subscribe for notifications,8,3,4,0,0
17,stl#Jobseeker:subscription page->Jobseeker:subscription page->subscription page:read existing information->read existing information:form for inputting user information,Subscribe for notifications,4,2,1,0,0
18,stl#Jobseeker:subscription page->Jobseeker:subscription page->subscription page:read existing information->read existing information:user profile database,Subscribe for notifications,4,1,2,0,0
19,stl#Jobseeker:time out error message->Jobseeker:time out error message,Subscribe for notifications,2,0,1,0,0
