id,transaction,useCase,transactional, TL, DETs, TD, TC, Arch_Diff
1,stl#User:Confirm box->User:Confirm box->Confirm box:Delete micro website->Delete micro website:pdf format is not valid message,Delete micro website,TRAN_NA,4,0,5.666666666666667,3,22.666666666666668
2,stl#User:Confirm box->User:Confirm box->Confirm box:Delete micro website->Delete micro website:Micro website,Delete micro website,TRAN_NA,4,0,8.666666666666666,3,34.666666666666664
3,stl#User:Confirm box->User:Confirm box->Confirm box:Delete micro website->Delete micro website:Deactivate the link->Deactivate the link:Direct to micro website management->Direct to micro website management:Micro Website Management Page,Delete micro website,TRAN_NA,6,0,7.6,5,45.599999999999994
4,stl#User:Confirm box->User:Confirm box->Confirm box:Delete micro website->Delete micro website:Deactivate the link->Deactivate the link:Direct to micro website management->Direct to micro website management:Redirect to micro website management page->Redirect to micro website management page:Micro Website Management Page,Delete micro website,TRAN_NA,7,0,8.166666666666666,6,57.166666666666664
5,stl#User:Confirm box->User:Confirm box->Confirm box:Delete micro website->Delete micro website:Deactivate the link->Deactivate the link:Micro website,Delete micro website,TRAN_NA,5,0,6.75,4,33.75
6,stl#User:pdf format is not valid message->User:pdf format is not valid message,Delete micro website,CTRL,2,0,2,1,4
7,stl#User:Micro Website Management Page->User:Micro Website Management Page,Delete micro website,CTRL;EXTCLL;INT,2,0,11,1,22
8,stl#User:"Delete" Button->User:"Delete" Button->"Delete" Button:Popup a confirm box->Popup a confirm box:Confirm box->Confirm box:Delete micro website->Delete micro website:pdf format is not valid message,Delete micro website,TRAN_NA,6,1,6.4,5,38.400000000000006
9,stl#User:"Delete" Button->User:"Delete" Button->"Delete" Button:Popup a confirm box->Popup a confirm box:Confirm box->Confirm box:Delete micro website->Delete micro website:Micro website,Delete micro website,TRAN_NA,6,1,8.2,5,49.199999999999996
10,stl#User:"Delete" Button->User:"Delete" Button->"Delete" Button:Popup a confirm box->Popup a confirm box:Confirm box->Confirm box:Delete micro website->Delete micro website:Deactivate the link->Deactivate the link:Direct to micro website management->Direct to micro website management:Micro Website Management Page,Delete micro website,TRAN_NA,8,1,7.571428571428571,7,60.57142857142857
11,stl#User:"Delete" Button->User:"Delete" Button->"Delete" Button:Popup a confirm box->Popup a confirm box:Confirm box->Confirm box:Delete micro website->Delete micro website:Deactivate the link->Deactivate the link:Direct to micro website management->Direct to micro website management:Redirect to micro website management page->Redirect to micro website management page:Micro Website Management Page,Delete micro website,TRAN_NA,9,1,8,8,72
12,stl#User:"Delete" Button->User:"Delete" Button->"Delete" Button:Popup a confirm box->Popup a confirm box:Confirm box->Confirm box:Delete micro website->Delete micro website:Deactivate the link->Deactivate the link:Micro website,Delete micro website,TRAN_NA,7,1,7,6,49
13,stl#User:"Delete" Button->User:"Delete" Button->"Delete" Button:Popup a confirm box->Popup a confirm box:"Delete" Button->"Delete" Button:Popup a confirm box,Delete micro website,TRAN_NA,5,2,7.5,4,37.5
14,stl#User:error message->User:error message,Subscribe latest news,CTRL,2,0,9,1,18
15,stl#User:subscribe bar on website->User:subscribe bar on website->subscribe bar on website:check email redundancy->check email redundancy:display error message when no record exists->display error message when no record exists:the email has already subscribed message,Subscribe latest news,TRAN_NA,5,1,4.5,4,22.5
16,stl#User:subscribe bar on website->User:subscribe bar on website->subscribe bar on website:check email redundancy->check email redundancy:display error message when no record exists->display error message when no record exists:error message,Subscribe latest news,TRAN_NA,5,1,5.75,4,28.75
17,stl#User:subscribe bar on website->User:subscribe bar on website->subscribe bar on website:check email redundancy->check email redundancy:display error message when no record exists->display error message when no record exists:add a subscriber recorder into the database->add a subscriber recorder into the database:website content,Subscribe latest news,TRAN_NA,6,2,3.8,5,22.799999999999997
18,stl#User:subscribe bar on website->User:subscribe bar on website->subscribe bar on website:check email redundancy->check email redundancy:display error message when no record exists->display error message when no record exists:add a subscriber recorder into the database->add a subscriber recorder into the database:error message,Subscribe latest news,TRAN_NA,6,2,5.4,5,32.400000000000006
19,stl#User:subscribe bar on website->User:subscribe bar on website->subscribe bar on website:check email redundancy->check email redundancy:display error message when no record exists->display error message when no record exists:add a subscriber recorder into the database->add a subscriber recorder into the database:shwo success message,Subscribe latest news,TRAN_NA,6,2,5.4,5,32.400000000000006
20,stl#User:subscribe bar on website->User:subscribe bar on website->subscribe bar on website:check email redundancy->check email redundancy:display error message when no record exists->display error message when no record exists:No record exist message,Subscribe latest news,TRAN_NA,5,1,5.75,4,28.75
21,stl#User:the email has already subscribed message->User:the email has already subscribed message,Subscribe latest news,CTRL;EXTCLL;INT,2,0,4,1,8
22,stl#User:No record exist message->User:No record exist message,Subscribe latest news,CTRL,2,0,9,1,18
23,stl#User:shwo success message->User:shwo success message,Subscribe latest news,CTRL,2,0,9,1,18
24,stl#User:Success message->User:Success message,add case studies,CTRL,2,0,3,1,6
25,stl#User:upload fail message->User:upload fail message,add case studies,CTRL,2,0,3,1,6
26,stl#User:"case study" form->User:"case study" form,add case studies,CTRL,2,0,8,1,16
27,stl#User:"Add Case Studies" button->User:"Add Case Studies" button->"Add Case Studies" button:Show "Case Study" form->Show "Case Study" form:upload file->upload file:upload fail message,add case studies,TRAN_NA,5,2,5,4,25
28,stl#User:"Add Case Studies" button->User:"Add Case Studies" button->"Add Case Studies" button:Show "Case Study" form->Show "Case Study" form:upload file->upload file:Create a new record of case study in db->Create a new record of case study in db:Success message,add case studies,TRAN_NA,6,2,5.8,5,34.8
29,stl#User:"Add Case Studies" button->User:"Add Case Studies" button->"Add Case Studies" button:Show "Case Study" form->Show "Case Study" form:upload file->upload file:Create a new record of case study in db->Create a new record of case study in db:Case study db,add case studies,TRAN_NA,6,1,6.8,5,40.8
30,stl#User:"Add Case Studies" button->User:"Add Case Studies" button->"Add Case Studies" button:Show "Case Study" form->Show "Case Study" form:upload file->upload file:"case study" form,add case studies,TRAN_NA,5,2,6.5,4,32.5
31,stl#User:"Add Case Studies" button->User:"Add Case Studies" button->"Add Case Studies" button:Show "Case Study" form->Show "Case Study" form:"Add Case Studies" button->"Add Case Studies" button:Show "Case Study" form,add case studies,CTRL,5,0,8,4,40
32,stl#User:"upload" button->User:"upload" button->"upload" button:Display "select files" box->Display "select files" box:check file validity->check file validity:Transmit the file->Transmit the file:Show the uploaded file's link->Show the uploaded file's link:Uploaded file's link,attach file,TRAN_NA,7,3,11,6,77
33,stl#User:"upload" button->User:"upload" button->"upload" button:Display "select files" box->Display "select files" box:check file validity->check file validity:Transmit the file->Transmit the file:Micro Website management,attach file,TRAN_NA,6,1,9.6,5,57.599999999999994
34,stl#User:"upload" button->User:"upload" button->"upload" button:Display "select files" box->Display "select files" box:"upload" button->"upload" button:Display "select files" box,attach file,TRAN_NA,5,3,11,4,55
35,stl#User:"upload" button->User:"upload" button->"upload" button:Display "select files" box->Display "select files" box:"select files" box->"select files" box:Micro Website management,attach file,TRAN_NA,5,2,9.25,4,46.25
36,stl#User:Uploaded file's link->User:Uploaded file's link,attach file,CTRL;EXTCLL;INT,2,0,11,1,22
37,stl#User:Micro Website management->User:Micro Website management,attach file,CTRL;EXTCLL;INT,2,0,4,1,8
38,stl#User:"select files" box->User:"select files" box->"select files" box:Micro Website management,attach file,TRAN_NA,3,0,7.5,2,22.5
39,stl#User:failure message->User:failure message,attach file,CTRL,2,0,1,1,2
40,stl#User:View Market Director Accounts Page->User:View Market Director Accounts Page,create marketing director account,CTRL;EXTCLL;INT,2,0,13,1,26
41,stl#User:username exists message->User:username exists message,create marketing director account,CTRL,2,1,4,1,8
42,stl#User:Username exists message->User:Username exists message,create marketing director account,CTRL,2,1,4,1,8
43,stl#User:"create account" button->User:"create account" button->"create account" button:Redict to an empty marketing director account form->Redict to an empty marketing director account form:User Info,create marketing director account,TRAN_NA,4,2,9.333333333333334,3,37.333333333333336
44,stl#User:"create account" button->User:"create account" button->"create account" button:Redict to an empty marketing director account form->Redict to an empty marketing director account form:Marketing Director Account form->Marketing Director Account form:check input format and record redundancy->check input format and record redundancy:username exists message,create marketing director account,TRAN_NA,6,3,9.4,5,56.400000000000006
45,stl#User:"create account" button->User:"create account" button->"create account" button:Redict to an empty marketing director account form->Redict to an empty marketing director account form:Marketing Director Account form->Marketing Director Account form:check input format and record redundancy->check input format and record redundancy:Username exists message,create marketing director account,TRAN_NA,6,3,9.4,5,56.400000000000006
46,stl#User:"create account" button->User:"create account" button->"create account" button:Redict to an empty marketing director account form->Redict to an empty marketing director account form:Marketing Director Account form->Marketing Director Account form:check input format and record redundancy->check input format and record redundancy:Check input format and record redundancy,create marketing director account,TRAN_NA,6,2,9.4,5,56.400000000000006
47,stl#User:"create account" button->User:"create account" button->"create account" button:Redict to an empty marketing director account form->Redict to an empty marketing director account form:Marketing Director Account form->Marketing Director Account form:check input format and record redundancy->check input format and record redundancy:Add new marketing director account to db->Add new marketing director account to db:Redirect to View Market director accounts page->Redirect to View Market director accounts page:View Market Director Accounts Page,create marketing director account,TRAN_NA,8,3,11.714285714285714,7,93.71428571428571
48,stl#User:"create account" button->User:"create account" button->"create account" button:Redict to an empty marketing director account form->Redict to an empty marketing director account form:Marketing Director Account form->Marketing Director Account form:check input format and record redundancy->check input format and record redundancy:Add new marketing director account to db->Add new marketing director account to db:Redirect to View Market director accounts page->Redirect to View Market director accounts page:Direct Account DB,create marketing director account,TRAN_NA,8,3,11.714285714285714,7,93.71428571428571
49,stl#User:"create account" button->User:"create account" button->"create account" button:Redict to an empty marketing director account form->Redict to an empty marketing director account form:"create account" button->"create account" button:Redict to an empty marketing director account form,create marketing director account,TRAN_NA,5,3,13,4,65
50,stl#User:Marketing Director Account form->User:Marketing Director Account form->Marketing Director Account form:check input format and record redundancy->check input format and record redundancy:username exists message,create marketing director account,TRAN_NA,4,1,3,3,12
51,stl#User:Marketing Director Account form->User:Marketing Director Account form->Marketing Director Account form:check input format and record redundancy->check input format and record redundancy:Username exists message,create marketing director account,TRAN_NA,4,1,3,3,12
52,stl#User:Marketing Director Account form->User:Marketing Director Account form->Marketing Director Account form:check input format and record redundancy->check input format and record redundancy:Check input format and record redundancy,create marketing director account,TRAN_NA,4,0,3,3,12
53,stl#User:Marketing Director Account form->User:Marketing Director Account form->Marketing Director Account form:check input format and record redundancy->check input format and record redundancy:Add new marketing director account to db->Add new marketing director account to db:Redirect to View Market director accounts page->Redirect to View Market director accounts page:View Market Director Accounts Page,create marketing director account,TRAN_NA,6,1,8.8,5,52.800000000000004
54,stl#User:Marketing Director Account form->User:Marketing Director Account form->Marketing Director Account form:check input format and record redundancy->check input format and record redundancy:Add new marketing director account to db->Add new marketing director account to db:Redirect to View Market director accounts page->Redirect to View Market director accounts page:Direct Account DB,create marketing director account,TRAN_NA,6,1,8.8,5,52.800000000000004
55,stl#Timer:idle for 30 or more minutes->Timer:idle for 30 or more minutes->idle for 30 or more minutes:Redict to an empty marketing director account form->Redict to an empty marketing director account form:User Info,create marketing director account,TRAN_NA,4,2,6.333333333333333,3,25.333333333333332
56,stl#Timer:idle for 30 or more minutes->Timer:idle for 30 or more minutes->idle for 30 or more minutes:Redict to an empty marketing director account form->Redict to an empty marketing director account form:Marketing Director Account form->Marketing Director Account form:check input format and record redundancy->check input format and record redundancy:username exists message,create marketing director account,TRAN_NA,6,3,7.6,5,45.599999999999994
57,stl#Timer:idle for 30 or more minutes->Timer:idle for 30 or more minutes->idle for 30 or more minutes:Redict to an empty marketing director account form->Redict to an empty marketing director account form:Marketing Director Account form->Marketing Director Account form:check input format and record redundancy->check input format and record redundancy:Username exists message,create marketing director account,TRAN_NA,6,3,7.6,5,45.599999999999994
58,stl#Timer:idle for 30 or more minutes->Timer:idle for 30 or more minutes->idle for 30 or more minutes:Redict to an empty marketing director account form->Redict to an empty marketing director account form:Marketing Director Account form->Marketing Director Account form:check input format and record redundancy->check input format and record redundancy:Check input format and record redundancy,create marketing director account,TRAN_NA,6,2,7.6,5,45.599999999999994
59,stl#Timer:idle for 30 or more minutes->Timer:idle for 30 or more minutes->idle for 30 or more minutes:Redict to an empty marketing director account form->Redict to an empty marketing director account form:Marketing Director Account form->Marketing Director Account form:check input format and record redundancy->check input format and record redundancy:Add new marketing director account to db->Add new marketing director account to db:Redirect to View Market director accounts page->Redirect to View Market director accounts page:View Market Director Accounts Page,create marketing director account,TRAN_NA,8,3,10.428571428571429,7,83.42857142857143
60,stl#Timer:idle for 30 or more minutes->Timer:idle for 30 or more minutes->idle for 30 or more minutes:Redict to an empty marketing director account form->Redict to an empty marketing director account form:Marketing Director Account form->Marketing Director Account form:check input format and record redundancy->check input format and record redundancy:Add new marketing director account to db->Add new marketing director account to db:Redirect to View Market director accounts page->Redirect to View Market director accounts page:Direct Account DB,create marketing director account,TRAN_NA,8,3,10.428571428571429,7,83.42857142857143
61,stl#Timer:idle for 30 or more minutes->Timer:idle for 30 or more minutes->idle for 30 or more minutes:Redict to an empty marketing director account form->Redict to an empty marketing director account form:"create account" button->"create account" button:Redict to an empty marketing director account form->Redict to an empty marketing director account form:"create account" button,create marketing director account,TRAN_NA,6,4,11.2,5,67.19999999999999
62,stl#Timer:idle for 30 or more minutes->Timer:idle for 30 or more minutes->idle for 30 or more minutes:Redict to an empty marketing director account form->Redict to an empty marketing director account form:"create account" button->"create account" button:Redict to an empty marketing director account form->Redict to an empty marketing director account form:User Info,create marketing director account,TRAN_NA,6,4,9,5,54
63,stl#Timer:idle for 30 or more minutes->Timer:idle for 30 or more minutes->idle for 30 or more minutes:Redict to an empty marketing director account form->Redict to an empty marketing director account form:"create account" button->"create account" button:Redict to an empty marketing director account form->Redict to an empty marketing director account form:Marketing Director Account form->Marketing Director Account form:check input format and record redundancy->check input format and record redundancy:username exists message,create marketing director account,TRAN_NA,8,5,9.142857142857142,7,73.14285714285714
64,stl#Timer:idle for 30 or more minutes->Timer:idle for 30 or more minutes->idle for 30 or more minutes:Redict to an empty marketing director account form->Redict to an empty marketing director account form:"create account" button->"create account" button:Redict to an empty marketing director account form->Redict to an empty marketing director account form:Marketing Director Account form->Marketing Director Account form:check input format and record redundancy->check input format and record redundancy:Username exists message,create marketing director account,TRAN_NA,8,5,9.142857142857142,7,73.14285714285714
65,stl#Timer:idle for 30 or more minutes->Timer:idle for 30 or more minutes->idle for 30 or more minutes:Redict to an empty marketing director account form->Redict to an empty marketing director account form:"create account" button->"create account" button:Redict to an empty marketing director account form->Redict to an empty marketing director account form:Marketing Director Account form->Marketing Director Account form:check input format and record redundancy->check input format and record redundancy:Check input format and record redundancy,create marketing director account,TRAN_NA,8,4,9.142857142857142,7,73.14285714285714
66,stl#Timer:idle for 30 or more minutes->Timer:idle for 30 or more minutes->idle for 30 or more minutes:Redict to an empty marketing director account form->Redict to an empty marketing director account form:"create account" button->"create account" button:Redict to an empty marketing director account form->Redict to an empty marketing director account form:Marketing Director Account form->Marketing Director Account form:check input format and record redundancy->check input format and record redundancy:Add new marketing director account to db->Add new marketing director account to db:Redirect to View Market director accounts page->Redirect to View Market director accounts page:View Market Director Accounts Page,create marketing director account,TRAN_NA,10,5,11,9,110
