id,element,useCase,type,component
1,User:specific document record,Create a limited user_admin,boundary,specificdocumentrecord
2,User:validation failed message,Create a limited user_admin,boundary,validationfailedmessage
3,User:file download interface,Create a limited user_admin,control,filedownloadinterface
4,User:"create user" button,Create a limited user_admin,entity,userinfo
5,User:validation failed message,Create a limited user_admin,boundary,validationfailedmessage
6,User:user information page,Create a limited user_admin,entity,userinfo
7,User:role validation failed message,Create a limited user_admin,boundary,validationfailedmessage
8,User:success message,Create a limited user_admin,boundary,validationfailedmessage
9,"create user" button:validate the role of user,Create a limited user_admin,boundary,validationfailedmessage
10,download the document:file download interface,Create a limited user_admin,control,filedownloadinterface
11,validate the role of users:download the document,Create a limited user_admin,control,filedownloadinterface
12,generate a random password for the username:insert the new username and password into the user db,Create a limited user_admin,control,insertthenewusernameandpasswordintotheuserdb
13,generate a random password for the username:user information page,Create a limited user_admin,entity,userinfo
14,validate the role of user:generate a random password for the username,Create a limited user_admin,control,insertthenewusernameandpasswordintotheuserdb
15,insert the new username and password into the user db:return generate success message,Create a limited user_admin,boundary,validationfailedmessage
16,insert the new username and password into the user db:user info,Create a limited user_admin,entity,userinfo
17,user information page:insert the new username and password into the user db,Create a limited user_admin,control,insertthenewusernameandpasswordintotheuserdb
18,return generate success message:success message,Create a limited user_admin,boundary,validationfailedmessage
19,role validation failed message:validation failed message,Create a limited user_admin,boundary,validationfailedmessage
20,validate the role of user:role validation failed message,Create a limited user_admin,boundary,validationfailedmessage
21,specific document record:validate the role of users,Create a limited user_admin,boundary,validationfailedmessage
22,validate the role of users:user,Create a limited user_admin,entity,userinfo
23,validate the role of user:user info,Create a limited user_admin,entity,userinfo
24,validate the role of users:validation failed message,Create a limited user_admin,boundary,validationfailedmessage
25,stl#User:specific document record,Create a limited user_admin,Stimulus,undefined
26,stl#User:validation failed message,Create a limited user_admin,Stimulus,undefined
27,stl#User:file download interface,Create a limited user_admin,Stimulus,undefined
28,stl#User:"create user" button,Create a limited user_admin,Stimulus,undefined
29,stl#User:validation failed message,Create a limited user_admin,Stimulus,undefined
30,stl#User:user information page,Create a limited user_admin,Stimulus,undefined
31,stl#User:role validation failed message,Create a limited user_admin,Stimulus,undefined
32,stl#User:success message,Create a limited user_admin,Stimulus,undefined
33,User:validation failed message,Create new case,boundary,validationfailedmessage
34,User:Insert success message,Create new case,boundary,validationfailedmessage
35,User:case information page,Create new case,boundary,validationfailedmessage
36,User:validation failed message,Create new case,boundary,validationfailedmessage
37,User:Create new case button,Create new case,control,insertthenewusernameandpasswordintotheuserdb
38,print the document:printer,Create new case,entity,userinfo
39,Create new case button:validate the role of users,Create new case,boundary,validationfailedmessage
40,Insert success message:print the document,Create new case,boundary,specificdocumentrecord
41,insert case into case database:Insert success message,Create new case,boundary,validationfailedmessage
42,insert case into case database:case information,Create new case,entity,userinfo
43,case information page:validate the ifnoramtion from case information page,Create new case,boundary,validationfailedmessage
44,validate the role of users:case information page,Create new case,boundary,validationfailedmessage
45,validate the ifnoramtion from case information page:insert case into case database,Create new case,control,insertthenewusernameandpasswordintotheuserdb
46,validate the role of users:user,Create new case,entity,userinfo
47,validate the ifnoramtion from case information page:user,Create new case,entity,userinfo
48,validate the ifnoramtion from case information page:validation failed message,Create new case,boundary,validationfailedmessage
49,validate the role of users:validation failed message,Create new case,boundary,validationfailedmessage
50,stl#User:validation failed message,Create new case,Stimulus,undefined
51,stl#User:Insert success message,Create new case,Stimulus,undefined
52,stl#User:case information page,Create new case,Stimulus,undefined
53,stl#User:validation failed message,Create new case,Stimulus,undefined
54,stl#User:Create new case button,Create new case,Stimulus,undefined
55,User:description should not be blank message,Log activity,boundary,validationfailedmessage
56,User:use information page,Log activity,boundary,validationfailedmessage
57,User:information input page,Log activity,boundary,validationfailedmessage
58,User:add vew button,Log activity,boundary,addvewbutton
59,add vew button:return activity description page,Log activity,boundary,validationfailedmessage
60,insert activity into case:case info,Log activity,entity,user
61,validate the descirpiton of activity:description should not be blank message,Log activity,boundary,validationfailedmessage
